cited_work_id,cited_year,citation_count,title,window
W2066394966,1963,354,A TWO‐STAGE TECHNIQUE FOR THE <i>IN VITRO</i> DIGESTION OF FORAGE CROPS,1995-1999
W2006807779,1983,348,A plant DNA minipreparation: Version II,1995-1999
W2164366449,1979,345,The estimation of protein degradability in the rumen from incubation measurements weighted according to rate of passage,1995-1999
W1577441875,1938,312,The Water-Culture Method for Growing Plants Without Soil,1995-1999
W1974119162,1970,282,A manual for the practical study of root-nodule bacteria,1995-1999
W2069687969,1961,280,Principles and Procedures of Statistics,1995-1999
W2159080918,1993,257,Structural models of primary cell walls in flowering plants: consistency of molecular structure with the physical properties of the walls during growth,1995-1999
W1984017573,1993,243,Map-Based Cloning of a Protein Kinase Gene Conferring Disease Resistance in Tomato,1995-1999
W1999102617,1991,228,Identification of markers linked to disease-resistance genes by bulked segregant analysis: a rapid method to detect markers in specific genomic regions by using segregating populations.,1995-1999
W2059555945,1994,215,H2O2 from the oxidative burst orchestrates the plant hypersensitive disease resistance response,1995-1999
W2140031547,1980,208,Mechanisms of Salt Tolerance in Nonhalophytes,1995-1999
W2141095840,1991,208,Rising CO<sub>2</sub> levels and their potential significance for carbon flow in photosynthetic cells,1995-1999
W2175150171,1990,198,The Response of Natural Ecosystems to the Rising Global CO2 Levels,1995-1999
W1974855449,1995,190,Molecular Genetics of Plant Disease Resistance,1995-1999
W1640080484,1973,184,Responses of Plants to Environmental Stresses,1995-1999
W1564923665,1973,183,Ethylene in plant biology,1995-1999
W2125588761,1993,182,Interspecific variation in the growth response of plants to an elevated ambient CO2 concentration,1995-1999
W2174475512,1984,181,Ethylene Biosynthesis and its Regulation in Higher Plants,1995-1999
W2003912358,1994,177,The product of the tobacco mosaic virus resistance gene N: Similarity to toll and the interleukin-1 receptor,1995-1999
W2099721226,1978,175,The Physiology of Metal Toxicity in Plants,1995-1999
