cited_work_id,cited_year,citation_count,title,window
W2473156356,2016,2078,Using Deep Learning for Image-Based Plant Disease Detection,2020-2024
W2527891094,2016,1992,Abiotic Stress Signaling and Responses in Plants,2020-2024
W2789255992,2018,1547,Deep learning models for plant disease detection and diagnosis,2020-2024
W2886785109,2018,1495,Shifting the limits in wheat research and breeding using a fully annotated reference genome,2020-2024
W2790979755,2018,1421,Deep learning in agriculture: A survey,2020-2024
W1886677716,2015,1073,"Plant biostimulants: Definition, concept, main categories and regulation",2020-2024
W2731951690,2017,1015,Crop Production under Drought and Heat Stress: Plant Responses and Management Options,2020-2024
W2061439208,1956,990,Statistical Methods For Agricultural Workers,2020-2024
W3048805481,2020,980,Plant–microbiome interactions: from community assembly to plant health,2020-2024
W2470368200,2016,974,Deep Neural Networks Based Recognition of Plant Diseases by Leaf Image Classification,2020-2024
W2080843596,2014,935,Reactive oxygen species (ROS) and response of antioxidants as ROS-scavengers during environmental stress in plants,2020-2024
W3046014324,2020,930,Reactive Oxygen Species and Antioxidant Defense in Plants under Abiotic Stress: Revisiting the Crucial Role of a Universal Defense Regulator,2020-2024
W2885770726,2018,917,Machine Learning in Agriculture: A Review,2020-2024
W1941885189,2013,913,Top 10 plant‐parasitic nematodes in molecular plant pathology,2020-2024
W1005007408,2015,896,FUNGuild: An open annotation tool for parsing fungal community datasets by ecological guild,2020-2024
W2897314349,2018,896,"Plant Growth-Promoting Rhizobacteria: Context, Mechanisms of Action, and Roadmap to Commercialization of Biostimulants for Sustainable Agriculture",2020-2024
W2547303460,2016,886,"Reactive oxygen species, abiotic stress and stress combination",2020-2024
W2095478872,2014,881,Soil salinity: A serious environmental issue and plant growth promoting bacteria as one of the tools for its alleviation,2020-2024
W2054600557,2015,855,"Structure, variation, and assembly of the root-associated microbiomes of rice",2020-2024
W2102471114,2013,855,Going back to the roots: the microbial ecology of the rhizosphere,2020-2024
