cited_work_id,cited_year,citation_count,title,window
W2066394966,1963,354,A TWO‐STAGE TECHNIQUE FOR THE <i>IN VITRO</i> DIGESTION OF FORAGE CROPS,1995-1999
W1997087247,1991,349,"Methods for Dietary Fiber, Neutral Detergent Fiber, and Nonstarch Polysaccharides in Relation to Animal Nutrition",1995-1999
W2006807779,1983,348,A plant DNA minipreparation: Version II,1995-1999
W2164366449,1979,345,The estimation of protein degradability in the rumen from incubation measurements weighted according to rate of passage,1995-1999
W2085258124,1970,328,Improved procedures for clearing roots and staining parasitic and vesicular-arbuscular mycorrhizal fungi for rapid assessment of infection,1995-1999
W1577441875,1938,312,The Water-Culture Method for Growing Plants Without Soil,1995-1999
W2144282014,1980,284,AN EVALUATION OF TECHNIQUES FOR MEASURING VESICULAR ARBUSCULAR MYCORRHIZAL INFECTION IN ROOTS,1995-1999
W1974119162,1970,282,A manual for the practical study of root-nodule bacteria,1995-1999
W2069687969,1961,280,Principles and Procedures of Statistics,1995-1999
W2159080918,1993,257,Structural models of primary cell walls in flowering plants: consistency of molecular structure with the physical properties of the walls during growth,1995-1999
W1984017573,1993,243,Map-Based Cloning of a Protein Kinase Gene Conferring Disease Resistance in Tomato,1995-1999
W1999102617,1991,228,Identification of markers linked to disease-resistance genes by bulked segregant analysis: a rapid method to detect markers in specific genomic regions by using segregating populations.,1995-1999
W2059555945,1994,215,H2O2 from the oxidative burst orchestrates the plant hypersensitive disease resistance response,1995-1999
W2141095840,1991,208,Rising CO<sub>2</sub> levels and their potential significance for carbon flow in photosynthetic cells,1995-1999
W2140031547,1980,208,Mechanisms of Salt Tolerance in Nonhalophytes,1995-1999
W2082091267,1980,208,Rapid isolation of high molecular weight plant DNA,1995-1999
W2175150171,1990,198,The Response of Natural Ecosystems to the Rising Global CO2 Levels,1995-1999
W1974855449,1995,190,Molecular Genetics of Plant Disease Resistance,1995-1999
W3216089686,1950,184,The Water-Culture Method of Growing Plants without Soil.,1995-1999
W1640080484,1973,184,Responses of Plants to Environmental Stresses,1995-1999
W1564923665,1973,183,Ethylene in plant biology,1995-1999
W2125588761,1993,182,Interspecific variation in the growth response of plants to an elevated ambient CO2 concentration,1995-1999
W2174475512,1984,181,Ethylene Biosynthesis and its Regulation in Higher Plants,1995-1999
W2003912358,1994,177,The product of the tobacco mosaic virus resistance gene N: Similarity to toll and the interleukin-1 receptor,1995-1999
W2099721226,1978,175,The Physiology of Metal Toxicity in Plants,1995-1999
W1992485982,1987,172,Improved method for the isolation of RNA from plant tissues,1995-1999
W2015065370,1993,171,"CTR1, a negative regulator of the ethylene response pathway in arabidopsis, encodes a member of the Raf family of protein kinases",1995-1999
W2065589216,1991,169,Nuclear DNA content of some important plant species,1995-1999
W1980195730,1984,168,"Ribosomal DNA spacer-length polymorphisms in barley: mendelian inheritance, chromosomal location, and population dynamics.",1995-1999
W2319410825,1985,165,Statistical Procedures for Agricultural Research.,1995-1999
W2016737807,1994,164,RPS2 of <i>Arabidopsis thaliana</i> : a Leucine-Rich Repeat Class of Plant Disease Resistance Genes,1995-1999
W2124423037,1994,161,Tansley Review No. 71 Effects of elevated atmospheric CO<sub>2</sub>on woody plants,1995-1999
W1987355768,1980,161,Broad host range DNA cloning system for gram-negative bacteria: construction of a gene bank of Rhizobium meliloti.,1995-1999
W2022996288,1993,160,HY4 gene of A. thaliana encodes a protein with characteristics of a blue-light photoreceptor,1995-1999
W1978399367,1990,159,Symbiotic host-specificity of Rhizobium meliloti is determined by a sulphated and acylated glucosamine oligosaccharide signal,1995-1999
W2028254759,1995,158,"A Receptor Kinase-Like Protein Encoded by the Rice Disease Resistance Gene, <i>Xa21</i>",1995-1999
W2115292592,1992,155,High density molecular linkage maps of the tomato and potato genomes.,1995-1999
W2125268208,1991,155,Effects of source‐sink relations on photosynthetic acclimation to elevated CO<sub>2</sub>,1995-1999
W2069551150,1995,155,Seeds: Physiology of Development and Germination.,1995-1999
W2019207089,1993,154,<i>Arabidopsis</i> Ethylene-Response Gene <i>ETR1</i> : Similarity of Product to Two-Component Regulators,1995-1999
W2007358741,1992,154,"Elicitor- and wound-induced oxidative cross-linking of a proline-rich plant cell wall protein: A novel, rapid defense response",1995-1999
W1595105750,1992,152,A net carbohydrate and protein system for evaluating cattle diets: II. Carbohydrate and protein availability,1995-1999
W1988514021,1983,152,Carbon Dioxide and Agricultural Yield: An Assemblage and Analysis of 430 Prior Observations<sup>1</sup>,1995-1999
W1969472583,1995,152,Phytochromes: Photosensory Perception and Signal Transduction,1995-1999
W2076479752,1994,151,The A. thaliana disease resistance gene RPS2 encodes a protein containing a nucleotide-binding site and leucine-rich repeats,1995-1999
W2164009878,1990,146,Gene expression in response to abscisic acid and osmotic stress.,1995-1999
W2027229485,1983,146,A Broad Host Range Mobilization System for In Vivo Genetic Engineering: Transposon Mutagenesis in Gram Negative Bacteria,1995-1999
W1993234114,1974,142,R Factor Transfer in Rhizobium leguminosarum,1995-1999
W2059291619,1991,141,The war of the whorls: genetic interactions controlling flower development,1995-1999
W1512952934,1982,140,Methods of soil analysis. Part 2. Chemical and microbiological properties.,1995-1999
W1978661900,1994,139,Assignment of 30 Microsatellite Loci to the Linkage Map of Arabidopsis,1995-1999
W1986905491,1986,139,Crop responses to carbon dioxide doubling: a literature survey,1995-1999
W2089087782,1991,139,Mycorrhizas in ecosystems,1995-1999
W2164180320,1991,138,Modification of the response of photosynthetic productivity to rising temperature by atmospheric CO<sub>2</sub> concentrations: Has its importance been underestimated?,1995-1999
W4249002495,1993,137,Interspecific variation in the growth response of plants to an elevated ambient CO2 concentration,1995-1999
