method,organism,year,paper_count,cumulative_share
CRISPR,arabidopsis,2013,1,0.0003013863773357444
CRISPR,arabidopsis,2014,2,0.000970873786407767
CRISPR,arabidopsis,2015,10,0.004100946372239748
CRISPR,arabidopsis,2016,25,0.012317666126418152
CRISPR,arabidopsis,2017,34,0.02401601067378252
CRISPR,arabidopsis,2018,56,0.04216073781291173
CRISPR,arabidopsis,2019,62,0.05604719764011799
CRISPR,arabidopsis,2020,82,0.07549264501804052
CRISPR,arabidopsis,2021,76,0.09816643159379408
CRISPR,arabidopsis,2022,81,0.13119266055045872
CRISPR,arabidopsis,2023,79,0.17487091222030982
CRISPR,arabidopsis,2024,84,0.2141823444283647
CRISPR,barley,2012,1,0.0015128593040847202
CRISPR,barley,2019,3,0.004651162790697674
CRISPR,barley,2020,7,0.012600229095074456
CRISPR,barley,2021,4,0.014985014985014986
CRISPR,barley,2022,8,0.028606965174129355
CRISPR,barley,2023,6,0.03800786369593709
CRISPR,barley,2024,2,0.03803680981595092
CRISPR,cotton,2016,1,0.0011261261261261261
CRISPR,cotton,2017,2,0.002857142857142857
CRISPR,cotton,2018,4,0.006653992395437262
CRISPR,cotton,2019,5,0.010704727921498661
CRISPR,cotton,2020,4,0.012112036336109008
CRISPR,cotton,2021,3,0.014671814671814672
CRISPR,cotton,2022,10,0.023311897106109324
CRISPR,cotton,2023,4,0.028820960698689956
CRISPR,cotton,2024,25,0.04503105590062112
CRISPR,maize,2000,1,0.0008
CRISPR,maize,2014,1,0.0005252100840336134
CRISPR,maize,2015,1,0.0007974481658692185
CRISPR,maize,2016,2,0.001350621285791464
CRISPR,maize,2017,6,0.003016177680285166
CRISPR,maize,2018,6,0.004117219665778639
CRISPR,maize,2019,12,0.0064458768615247835
CRISPR,maize,2020,10,0.0077473182359952325
CRISPR,maize,2021,9,0.010256410256410256
CRISPR,maize,2022,12,0.013745704467353952
CRISPR,maize,2023,17,0.017697081130774533
CRISPR,maize,2024,26,0.02146280475098979
CRISPR,non_specific,1990,2,0.0001616422856219187
CRISPR,non_specific,1994,1,0.00022460133263457364
CRISPR,non_specific,1999,1,0.00023604390416617492
CRISPR,non_specific,2005,2,0.0001830049411334106
CRISPR,non_specific,2007,1,0.00016637353234776823
CRISPR,non_specific,2008,3,0.00021256695859195646
CRISPR,non_specific,2009,1,0.0002113799265935164
CRISPR,non_specific,2010,2,0.00023124266249244013
CRISPR,non_specific,2011,2,0.00024597018841316433
CRISPR,non_specific,2012,2,0.0002578453231408594
CRISPR,non_specific,2013,3,0.0003002056408639918
CRISPR,non_specific,2014,14,0.00048008359102526087
CRISPR,non_specific,2015,23,0.0008207816144918354
CRISPR,non_specific,2016,51,0.0015215124961257783
CRISPR,non_specific,2017,59,0.0025061904404592183
CRISPR,non_specific,2018,109,0.003291631384989684
CRISPR,non_specific,2019,127,0.004642964123597318
CRISPR,non_specific,2020,144,0.0059778154199224085
CRISPR,non_specific,2021,190,0.008386149767304257
CRISPR,non_specific,2022,194,0.010393524979067821
CRISPR,non_specific,2023,194,0.011720092927314588
CRISPR,non_specific,2024,266,0.017158646551617796
CRISPR,other_crop,2010,1,9.666505558240696e-05
CRISPR,other_crop,2012,2,0.00025619128949615715
CRISPR,other_crop,2016,6,0.0007683770169896696
CRISPR,other_crop,2017,9,0.001413760603204524
CRISPR,other_crop,2018,10,0.0019017863207226788
CRISPR,other_crop,2019,27,0.003284758719541328
CRISPR,other_crop,2020,39,0.0052572706935123045
CRISPR,other_crop,2021,38,0.007383376216579036
CRISPR,other_crop,2022,39,0.010609256731604417
CRISPR,other_crop,2023,43,0.012947725072604065
CRISPR,other_crop,2024,58,0.015322217214961695
CRISPR,other_model_organism,2015,3,0.0026857654431512983
CRISPR,other_model_organism,2016,2,0.004916420845624385
CRISPR,other_model_organism,2017,5,0.01040582726326743
CRISPR,other_model_organism,2018,6,0.01664932362122789
CRISPR,other_model_organism,2019,5,0.016091954022988506
CRISPR,other_model_organism,2020,8,0.026102610261026102
CRISPR,other_model_organism,2021,16,0.03909643788010426
CRISPR,other_model_organism,2022,20,0.06585612968591692
CRISPR,other_model_organism,2023,21,0.0893970893970894
CRISPR,other_model_organism,2024,19,0.1111111111111111
CRISPR,potato,2012,1,0.0010787486515641855
CRISPR,potato,2015,1,0.0021231422505307855
CRISPR,potato,2016,2,0.004993757802746567
CRISPR,potato,2017,1,0.005889281507656066
CRISPR,potato,2018,2,0.006958250497017893
CRISPR,potato,2019,7,0.013182674199623353
CRISPR,potato,2020,6,0.016090104585679808
CRISPR,potato,2021,7,0.021445591739475776
CRISPR,potato,2022,14,0.036283185840707964
CRISPR,potato,2023,7,0.040100250626566414
CRISPR,potato,2024,6,0.048214285714285716
CRISPR,rice,1993,1,0.0016155088852988692
CRISPR,rice,2010,1,0.0005861664712778429
CRISPR,rice,2013,2,0.0009413979759943516
CRISPR,rice,2014,1,0.0011712344811431249
CRISPR,rice,2015,6,0.0025851938895417154
CRISPR,rice,2016,11,0.005931517929361013
CRISPR,rice,2017,24,0.011366444279713369
CRISPR,rice,2018,32,0.015950920245398775
CRISPR,rice,2019,66,0.0274442538593482
CRISPR,rice,2020,62,0.03428191046763188
CRISPR,rice,2021,96,0.05168577785384221
CRISPR,rice,2022,88,0.06826535970593384
CRISPR,rice,2023,90,0.08683068017366136
CRISPR,rice,2024,106,0.0946841169817418
CRISPR,soybean,2015,7,0.003875968992248062
CRISPR,soybean,2016,2,0.005569306930693069
CRISPR,soybean,2017,2,0.006369426751592357
CRISPR,soybean,2018,4,0.007331378299120235
CRISPR,soybean,2019,12,0.01178524661719773
CRISPR,soybean,2020,20,0.019325657894736843
CRISPR,soybean,2021,19,0.026602176541717048
CRISPR,soybean,2022,27,0.040242319342276074
CRISPR,soybean,2023,20,0.0532015065913371
CRISPR,soybean,2024,27,0.061755624172915746
CRISPR,tobacco,2015,1,0.001288659793814433
CRISPR,tobacco,2017,2,0.005235602094240838
CRISPR,tobacco,2018,1,0.006420545746388443
CRISPR,tobacco,2019,8,0.01938610662358643
CRISPR,tobacco,2020,11,0.034023668639053255
CRISPR,tobacco,2021,4,0.036935704514363885
CRISPR,tobacco,2022,9,0.05084745762711865
CRISPR,tobacco,2023,11,0.062087186261558784
CRISPR,tobacco,2024,9,0.07170294494238157
CRISPR,tomato,1991,1,0.0030581039755351682
CRISPR,tomato,2001,1,0.0035778175313059034
CRISPR,tomato,2015,2,0.0020800832033281333
CRISPR,tomato,2016,2,0.0035863717872086074
CRISPR,tomato,2017,14,0.011037527593818985
CRISPR,tomato,2018,19,0.018580276322058123
CRISPR,tomato,2019,21,0.02544529262086514
CRISPR,tomato,2020,41,0.03838844545800076
CRISPR,tomato,2021,40,0.04919748778785764
CRISPR,tomato,2022,39,0.06676557863501484
CRISPR,tomato,2023,44,0.08151382823871907
CRISPR,tomato,2024,46,0.09433962264150944
CRISPR,wheat,2016,2,0.0005629045876723895
CRISPR,wheat,2017,7,0.0023634453781512603
CRISPR,wheat,2018,10,0.004131332898456186
CRISPR,wheat,2019,15,0.006984387838948234
CRISPR,wheat,2020,8,0.007417873542917697
CRISPR,wheat,2021,22,0.011424491253123885
CRISPR,wheat,2022,24,0.016790688799847357
CRISPR,wheat,2023,20,0.021015761821366025
CRISPR,wheat,2024,20,0.024907569566063437
pangenomics,arabidopsis,2008,1,0.00045187528242205153
pangenomics,arabidopsis,2009,1,0.0008984725965858042
pangenomics,arabidopsis,2017,2,0.00133422281521014
pangenomics,arabidopsis,2018,2,0.001976284584980237
pangenomics,arabidopsis,2019,2,0.002359882005899705
pangenomics,arabidopsis,2020,5,0.0036081043574798777
pangenomics,arabidopsis,2021,2,0.004231311706629055
pangenomics,arabidopsis,2022,6,0.006422018348623854
pangenomics,arabidopsis,2023,6,0.00929432013769363
pangenomics,arabidopsis,2024,6,0.011939218523878437
pangenomics,barley,2020,2,0.002290950744558992
pangenomics,barley,2021,3,0.004995004995004995
pangenomics,barley,2022,7,0.014925373134328358
pangenomics,barley,2023,4,0.020969855832241154
pangenomics,barley,2024,6,0.026993865030674847
pangenomics,cotton,2020,5,0.003785011355034065
pangenomics,cotton,2021,1,0.004633204633204633
pangenomics,cotton,2023,1,0.00611353711790393
pangenomics,cotton,2024,2,0.006987577639751553
pangenomics,maize,2015,1,0.0002658160552897395
pangenomics,maize,2017,2,0.0008225939128050452
pangenomics,maize,2018,1,0.0009687575684185032
pangenomics,maize,2019,1,0.0011113580795732384
pangenomics,maize,2020,2,0.0013905442987683751
pangenomics,maize,2021,3,0.002136752136752137
pangenomics,maize,2022,4,0.0032073310423825887
pangenomics,maize,2023,4,0.004136980004596644
pangenomics,maize,2024,5,0.004792665138570536
pangenomics,non_specific,2006,1,2.6993467580845435e-05
pangenomics,non_specific,2007,1,4.75352949565052e-05
pangenomics,non_specific,2009,1,5.7649070889140833e-05
pangenomics,non_specific,2010,3,0.00010672738268881852
pangenomics,non_specific,2011,4,0.00016398012560877621
pangenomics,non_specific,2012,5,0.00022751057924193474
pangenomics,non_specific,2013,4,0.0002851953588207922
pangenomics,non_specific,2014,5,0.00033888253484136064
pangenomics,non_specific,2015,7,0.00044639000086398067
pangenomics,non_specific,2016,7,0.0005353469893775887
pangenomics,non_specific,2017,11,0.0007353492909131838
pangenomics,non_specific,2018,12,0.0007274982408854012
pangenomics,non_specific,2019,18,0.0009101592202585313
pangenomics,non_specific,2020,27,0.0011584066444456588
pangenomics,non_specific,2021,39,0.0016499209175836055
pangenomics,non_specific,2022,65,0.0023444041306168017
pangenomics,non_specific,2023,36,0.0025627936534394565
pangenomics,non_specific,2024,44,0.0035772879223358455
pangenomics,other_crop,2011,2,0.00018675880100849752
pangenomics,other_crop,2012,1,0.00025619128949615715
pangenomics,other_crop,2013,1,0.00032546786004882016
pangenomics,other_crop,2014,1,0.00038571318367661806
pangenomics,other_crop,2015,1,0.0004667081518357187
pangenomics,other_crop,2016,1,0.000597626568769743
pangenomics,other_crop,2017,5,0.000942507068803016
pangenomics,other_crop,2019,2,0.0008361204013377926
pangenomics,other_crop,2020,6,0.0011185682326621924
pangenomics,other_crop,2021,21,0.0022933214006040942
pangenomics,other_crop,2022,19,0.003722546221615585
pangenomics,other_crop,2023,21,0.004900774443368829
pangenomics,other_crop,2024,18,0.005576836412798558
pangenomics,other_model_organism,2015,1,0.0008952551477170994
pangenomics,other_model_organism,2016,1,0.0019665683382497543
pangenomics,other_model_organism,2017,1,0.003121748178980229
pangenomics,other_model_organism,2019,1,0.0030651340996168583
pangenomics,other_model_organism,2020,6,0.009000900090009001
pangenomics,other_model_organism,2021,2,0.010425716768027803
pangenomics,other_model_organism,2024,2,0.014814814814814815
pangenomics,potato,2008,1,0.0014347202295552368
pangenomics,potato,2015,1,0.0021231422505307855
pangenomics,potato,2017,1,0.0035335689045936395
pangenomics,potato,2018,2,0.004970178926441352
pangenomics,potato,2020,3,0.006436041834271922
pangenomics,potato,2021,4,0.009531374106433678
pangenomics,potato,2023,3,0.012531328320802004
pangenomics,rice,2018,4,0.0008179959100204499
pangenomics,rice,2019,2,0.0011435105774728416
pangenomics,rice,2020,2,0.0013313363288400732
pangenomics,rice,2021,3,0.0018825945575902789
pangenomics,rice,2022,6,0.0029756695256432696
pangenomics,rice,2023,7,0.004341534008683068
pangenomics,rice,2024,9,0.005332040717401842
pangenomics,soybean,2012,1,0.0005924170616113745
pangenomics,soybean,2014,1,0.0011325028312570782
pangenomics,soybean,2018,2,0.0019550342130987292
pangenomics,soybean,2020,1,0.002055921052631579
pangenomics,soybean,2021,7,0.0048367593712212815
pangenomics,soybean,2022,5,0.0073561228905235825
pangenomics,soybean,2023,2,0.008945386064030132
pangenomics,soybean,2024,3,0.009704455227172474
pangenomics,tobacco,2024,1,0.0012804097311139564
pangenomics,tomato,2010,1,0.0006939625260235947
pangenomics,tomato,2019,2,0.001272264631043257
pangenomics,tomato,2020,1,0.0015203344735841885
pangenomics,tomato,2021,1,0.0017445917655268667
pangenomics,tomato,2022,1,0.002225519287833828
pangenomics,tomato,2023,3,0.0032751091703056767
pangenomics,tomato,2024,1,0.0034940600978336828
pangenomics,wheat,2015,1,0.00024551927326295114
pangenomics,wheat,2016,1,0.0005629045876723895
pangenomics,wheat,2017,2,0.0010504201680672268
pangenomics,wheat,2018,8,0.002609262883235486
pangenomics,wheat,2019,5,0.003492193919474117
pangenomics,wheat,2020,5,0.003885552808194984
pangenomics,wheat,2021,3,0.004462691895751518
pangenomics,wheat,2022,8,0.006296508299942759
pangenomics,wheat,2023,9,0.008172796263864565
pangenomics,wheat,2024,13,0.010702471297917883
single-cell,arabidopsis,1993,2,0.010582010582010581
single-cell,arabidopsis,1994,3,0.0211864406779661
single-cell,arabidopsis,1995,1,0.020833333333333332
single-cell,arabidopsis,1997,3,0.021479713603818614
single-cell,arabidopsis,1998,1,0.017421602787456445
single-cell,arabidopsis,1999,1,0.018739352640545145
single-cell,arabidopsis,2000,4,0.018820577164366373
single-cell,arabidopsis,2001,1,0.017486338797814208
single-cell,arabidopsis,2002,3,0.016536118363794605
single-cell,arabidopsis,2003,5,0.01991701244813278
single-cell,arabidopsis,2004,6,0.020905923344947737
single-cell,arabidopsis,2005,1,0.02040816326530612
single-cell,arabidopsis,2006,11,0.02408256880733945
single-cell,arabidopsis,2007,3,0.023291925465838508
single-cell,arabidopsis,2008,9,0.024401265250790782
single-cell,arabidopsis,2009,7,0.027403414195867025
single-cell,arabidopsis,2010,10,0.02919407894736842
single-cell,arabidopsis,2011,13,0.030292102416155788
single-cell,arabidopsis,2012,7,0.030826558265582657
single-cell,arabidopsis,2013,24,0.034659433393610606
single-cell,arabidopsis,2014,15,0.042071197411003236
single-cell,arabidopsis,2015,16,0.04605678233438486
single-cell,arabidopsis,2016,11,0.05089141004862237
single-cell,arabidopsis,2017,9,0.05537024683122081
single-cell,arabidopsis,2018,13,0.058959156785243744
single-cell,arabidopsis,2019,18,0.058112094395280235
single-cell,arabidopsis,2020,35,0.06439078545656397
single-cell,arabidopsis,2021,41,0.0770098730606488
single-cell,arabidopsis,2022,33,0.09357798165137615
single-cell,arabidopsis,2023,39,0.11876075731497418
single-cell,arabidopsis,2024,35,0.13748191027496381
single-cell,barley,1996,1,0.003861003861003861
single-cell,barley,1997,1,0.008130081300813009
single-cell,barley,2001,2,0.012987012987012988
single-cell,barley,2002,4,0.023255813953488372
single-cell,barley,2003,1,0.02356020942408377
single-cell,barley,2004,1,0.024330900243309004
single-cell,barley,2009,1,0.018998272884283247
single-cell,barley,2012,1,0.018154311649016642
single-cell,barley,2013,1,0.02
single-cell,barley,2015,1,0.01876675603217158
single-cell,barley,2017,2,0.02406015037593985
single-cell,barley,2019,2,0.020930232558139535
single-cell,barley,2021,1,0.01898101898101898
single-cell,barley,2022,2,0.026119402985074626
single-cell,cotton,1995,1,0.00510204081632653
single-cell,cotton,1996,1,0.010526315789473684
single-cell,cotton,1999,1,0.01048951048951049
single-cell,cotton,2001,2,0.01072961373390558
single-cell,cotton,2005,1,0.009836065573770493
single-cell,cotton,2007,1,0.00922266139657444
single-cell,cotton,2008,1,0.009153318077803204
single-cell,cotton,2009,1,0.010588235294117647
single-cell,cotton,2010,1,0.010917030567685589
single-cell,cotton,2012,1,0.011591148577449948
single-cell,cotton,2013,1,0.011650485436893204
single-cell,cotton,2014,1,0.014176663031624863
single-cell,cotton,2015,2,0.01687289088863892
single-cell,cotton,2016,6,0.02364864864864865
single-cell,cotton,2017,2,0.021904761904761906
single-cell,cotton,2018,2,0.02376425855513308
single-cell,cotton,2020,1,0.01968205904617714
single-cell,cotton,2021,3,0.022393822393822392
single-cell,cotton,2022,7,0.028938906752411574
single-cell,cotton,2023,5,0.03580786026200873
single-cell,cotton,2024,7,0.037267080745341616
single-cell,maize,1990,1,0.0012406947890818859
single-cell,maize,1991,1,0.002398081534772182
single-cell,maize,1992,1,0.0037546933667083854
single-cell,maize,1994,2,0.006067961165048544
single-cell,maize,1998,1,0.00641025641025641
single-cell,maize,1999,3,0.008712487899322363
single-cell,maize,2000,1,0.008
single-cell,maize,2001,1,0.007862759113652609
single-cell,maize,2002,2,0.008873720136518772
single-cell,maize,2003,1,0.00870105655686762
single-cell,maize,2004,1,0.008912655971479501
single-cell,maize,2005,1,0.008403361344537815
single-cell,maize,2007,1,0.007372072853425846
single-cell,maize,2008,1,0.007434944237918215
single-cell,maize,2009,1,0.006627136379490757
single-cell,maize,2010,1,0.006691201070592171
single-cell,maize,2013,2,0.006065618968844775
single-cell,maize,2014,1,0.006039915966386555
single-cell,maize,2015,1,0.006379585326953748
single-cell,maize,2017,1,0.006854949273375377
single-cell,maize,2018,1,0.006296924194720271
