organism,decade,cagr,absolute_growth
arabidopsis,1990s,0.25139300217677385,509
rice,1990s,0.028756345354034263,193
wheat,1990s,0.03045764103200521,248
maize,1990s,0.027954566067272424,227
soybean,1990s,-0.0012886740700003285,-6
tomato,1990s,0.049231498436108856,171
barley,1990s,0.006810608759915793,16
cotton,1990s,0.05022689167403893,102
potato,1990s,0.02070866604167909,47
tobacco,1990s,0.05723938740879331,225
other_crop,1990s,0.03008612309063352,680
other_model_organism,1990s,0.09064492878061281,129
non_specific,1990s,0.03556391784919444,4573
arabidopsis,2000s,0.12088996757156001,1429
rice,2000s,0.10782416589949428,1940
wheat,2000s,0.08272494007006892,1514
maize,2000s,0.09662342846309202,1617
soybean,2000s,0.08264742701157668,719
tomato,2000s,0.09385368975187935,775
barley,2000s,0.08536957637026799,302
cotton,2000s,0.07782410500626624,417
potato,2000s,0.08267183515096455,380
tobacco,2000s,0.04011518451692497,237
other_crop,2000s,0.09855042500580868,5258
other_model_organism,2000s,0.09277799945075271,462
non_specific,2000s,0.10211701570578735,30348
arabidopsis,2010s,0.03759109640500191,958
rice,2010s,0.048979240535941715,1835
wheat,2010s,0.04659652921027013,1637
maize,2010s,0.04648312827951595,1510
soybean,2010s,0.043476501135941925,729
tomato,2010s,0.0562444122051855,917
barley,2010s,0.05371923349376728,323
cotton,2010s,0.022693677339240104,205
potato,2010s,0.03637007836652684,292
tobacco,2010s,-0.0353774025153788,-237
other_crop,2010s,0.054961290602566715,6399
other_model_organism,2010s,0.04878859017458459,455
non_specific,2010s,0.049444243540445854,30580
arabidopsis,2020s,-0.06412371133091288,-839
rice,2020s,0.007406084736483631,180
wheat,2020s,-0.023938487712117595,-523
maize,2020s,-0.011880693995462543,-235
soybean,2020s,-0.01741079763090725,-165
tomato,2020s,0.021262053452841156,231
barley,2020s,-0.017040009069637874,-58
cotton,2020s,-0.006304641283314094,-33
potato,2020s,-0.025713413343776637,-123
tobacco,2020s,0.03675487097897179,105
other_crop,2020s,-0.001794533923826891,-128
other_model_organism,2020s,-0.039650228472227544,-166
non_specific,2020s,-0.029825581327709516,-10438
