organism,macro_theme_id,macro_theme_name,count,enrichment_log2
arabidopsis,16,"13n, ee, taxa, dna dna, dahliae",19,0.3842264265351699
arabidopsis,25,"national academy, academy sciences, academy, sciences, biological physical",10,0.2729703527806438
arabidopsis,0,"dan, yang, rats, dengan, patients",20493,0.23442042595476673
arabidopsis,1,"chromosome, chromosomes, rna, karyotype, 2n",844,0.13370434388211744
arabidopsis,24,"11, br, 12, mmoll, 13",546,0.014083179175452983
arabidopsis,3,"pp, vol, bulletin, du, journal",188,-0.050968105692204106
arabidopsis,26,"ex, amp, dc, kunth, willd",22,-0.07124450137685404
arabidopsis,28,"ofthe, inthe, ina, synthesis, ethylene",9,-0.17075590531424767
arabidopsis,7,"sup, image, sub, tn, cosub2sub",11,-0.32221525238863286
arabidopsis,23,"kim, lee, choi, korean, sci",2,-0.7255037929883963
arabidopsis,2,"inra, document, du, diffusion, centre",16,-1.7053259110507657
arabidopsis,27,"information given, abstract new, distribution map, geographical distribution, america",5,-2.375636156334592
arabidopsis,14,"x0d, 100, fertilizers, russian, russia",64,-2.457810325713431
arabidopsis,9,"cy, qu, thc, cao, cho",2,-2.6410196352112116
arabidopsis,29,"kan, om, van, op, te",22,-2.804820534222788
arabidopsis,10,"new species, described illustrated, illustrated, genus, sp nov",22,-3.090231173770804
arabidopsis,6,"oxford, academic, google scholar, scholar, published 01",34,-3.736184465535195
arabidopsis,4,"dataset, datasets, restrictive terms, licensed restrictive, terms dataset",39,-4.0
arabidopsis,5,"international rice, rice research, scientists, publication, rice based",0,-4.0
arabidopsis,8,"university arizona, libraries, project, committee, documentation",0,-4.0
arabidopsis,11,"mm long, mm, glabrous, long, hairs",0,-4.0
arabidopsis,12,"rocks, shale, sandstone, limestone, fault",0,-4.0
arabidopsis,13,"greater equal, equal, geometry, 1980, false",0,-4.0
arabidopsis,15,"hosting, web, provider, domain, free",0,-4.0
arabidopsis,17,"references, mm long, introduction, glumes, results discussion",0,-4.0
arabidopsis,18,"oder, mit, oft, bis, und",0,-4.0
arabidopsis,19,"surgery, sign, forum, archives, neck",0,-4.0
arabidopsis,20,"species established, 1964 iucn, evolved worlds, worlds comprehensive, established 1964",0,-4.0
arabidopsis,21,"theory, century, expedition, church, religious",1,-4.0
arabidopsis,22,"mr, miles, county, specimens, writer",1,-4.0
barley,17,"references, mm long, introduction, glumes, results discussion",10,1.8968094951975423
barley,28,"ofthe, inthe, ina, synthesis, ethylene",12,1.7103448176052984
barley,1,"chromosome, chromosomes, rna, karyotype, 2n",627,1.170990011617674
barley,14,"x0d, 100, fertilizers, russian, russia",260,1.0306207109557262
barley,23,"kim, lee, choi, korean, sci",2,0.7405594306523062
barley,0,"dan, yang, rats, dengan, patients",6692,0.08586180205488705
barley,22,"mr, miles, county, specimens, writer",9,0.031857688704821495
