year,organism,fundamental_count,applied_count,applied_share
1990,arabidopsis,8,70,0.8974358974358975
1990,barley,76,178,0.7007874015748031
1990,cotton,59,125,0.6793478260869565
1990,maize,235,571,0.7084367245657568
1990,non_specific,3098,9275,0.749616099571648
1990,other_crop,643,1581,0.7108812949640287
1990,other_model_organism,33,76,0.6972477064220184
1990,potato,45,187,0.8060344827586207
1990,rice,116,548,0.8253012048192772
1990,soybean,188,332,0.6384615384615384
1990,tobacco,65,281,0.8121387283236994
1990,tomato,75,241,0.7626582278481012
1990,wheat,230,570,0.7125
1991,arabidopsis,18,115,0.8646616541353384
1991,barley,75,173,0.6975806451612904
1991,cotton,40,124,0.7560975609756098
1991,maize,221,613,0.7350119904076738
1991,non_specific,2888,8851,0.7539824516568703
1991,other_crop,545,1503,0.73388671875
1991,other_model_organism,39,78,0.6666666666666666
1991,potato,45,175,0.7954545454545454
1991,rice,118,478,0.802013422818792
1991,soybean,178,315,0.6389452332657201
1991,tobacco,96,306,0.7611940298507462
1991,tomato,79,248,0.7584097859327217
1991,wheat,180,564,0.7580645161290323
1992,arabidopsis,17,154,0.9005847953216374
1992,barley,75,205,0.7321428571428571
1992,cotton,66,158,0.7053571428571429
1992,maize,233,566,0.7083854818523154
1992,non_specific,3039,9521,0.7580414012738853
1992,other_crop,570,1562,0.7326454033771107
1992,other_model_organism,33,101,0.753731343283582
1992,potato,46,175,0.7918552036199095
1992,rice,110,489,0.8163606010016694
1992,soybean,146,285,0.6612529002320185
1992,tobacco,56,320,0.851063829787234
1992,tomato,77,273,0.78
1992,wheat,178,621,0.7772215269086358
1993,arabidopsis,15,174,0.9206349206349206
1993,barley,85,174,0.6718146718146718
1993,cotton,53,131,0.7119565217391305
1993,maize,213,547,0.7197368421052631
1993,non_specific,2909,9764,0.7704568768247455
1993,other_crop,551,1614,0.7454965357967668
1993,other_model_organism,39,89,0.6953125
1993,potato,49,196,0.8
1993,rice,120,499,0.8061389337641357
1993,soybean,134,279,0.6755447941888619
1993,tobacco,61,323,0.8411458333333334
1993,tomato,79,272,0.7749287749287749
1993,wheat,192,600,0.7575757575757576
1994,arabidopsis,22,214,0.9067796610169492
1994,barley,81,163,0.6680327868852459
1994,cotton,50,124,0.7126436781609196
1994,maize,210,614,0.7451456310679612
1994,non_specific,3151,10206,0.7640937336228195
1994,other_crop,601,1728,0.7419493344783169
1994,other_model_organism,54,114,0.6785714285714286
1994,potato,51,205,0.80078125
1994,rice,141,544,0.7941605839416058
1994,soybean,151,299,0.6644444444444444
1994,tobacco,51,401,0.8871681415929203
1994,tomato,84,307,0.7851662404092071
1994,wheat,210,622,0.7475961538461539
1995,arabidopsis,28,260,0.9027777777777778
1995,barley,78,198,0.717391304347826
1995,cotton,52,144,0.7346938775510204
1995,maize,244,626,0.7195402298850575
1995,non_specific,3219,10457,0.7646241591108511
1995,other_crop,586,1880,0.7623682076236821
1995,other_model_organism,55,122,0.6892655367231638
1995,potato,49,222,0.8191881918819188
1995,rice,128,498,0.7955271565495208
1995,soybean,181,289,0.6148936170212767
1995,tobacco,64,384,0.8571428571428571
1995,tomato,86,300,0.7772020725388601
1995,wheat,216,692,0.762114537444934
1996,arabidopsis,37,352,0.9048843187660668
1996,barley,77,182,0.7027027027027027
1996,cotton,48,142,0.7473684210526316
1996,maize,216,611,0.7388149939540508
1996,non_specific,3218,11582,0.7825675675675675
1996,other_crop,598,1828,0.7535037098103875
1996,other_model_organism,51,135,0.7258064516129032
1996,potato,53,212,0.8
