organism,decade,cagr,ci_lower,ci_upper
arabidopsis,1990s,0.2513930021767738,0.2252239317249276,0.2774773181196597
rice,1990s,0.0287563453540342,0.024087204002756796,0.03331569802061147
wheat,1990s,0.0304576410320052,0.025595058553381598,0.035530341861234764
maize,1990s,0.0279545660672724,0.023544667709852286,0.032763681510841074
soybean,1990s,-0.0012886740700003,-0.0034579500031665317,0.0007223902126022016
tomato,1990s,0.0492314984361088,0.04265015328342647,0.05597967629843559
barley,1990s,0.0068106087599157,0.004314803135673266,0.009339382194085836
cotton,1990s,0.0502268916740389,0.042941321316149576,0.05666153055620032
potato,1990s,0.020708666041679,0.016834268411311658,0.024770860810139708
tobacco,1990s,0.0572393874087933,0.04945080822268644,0.06481384060264707
other_crop,1990s,0.0300861230906335,0.02506478464384992,0.03504514574208009
other_model_organism,1990s,0.0906449287806128,0.07976595752097887,0.10082060230585366
non_specific,1990s,0.0355639178491944,0.03015781079451568,0.04087142678591696
arabidopsis,2000s,0.12088996757156,0.10682866940562126,0.1353771917886004
rice,2000s,0.1078241658994942,0.09514942869972043,0.12025154742422607
wheat,2000s,0.0827249400700689,0.07272621997830883,0.09297185329835223
maize,2000s,0.096623428463092,0.08543020455454968,0.10830502247672291
soybean,2000s,0.0826474270115766,0.07268196674128219,0.092663189568904
tomato,2000s,0.0938536897518793,0.08302413308241555,0.10438357463585028
barley,2000s,0.0853695763702679,0.07474784174794165,0.0959170447144626
cotton,2000s,0.0778241050062662,0.06933427741257342,0.08748144297984772
potato,2000s,0.0826718351509645,0.07360910757645756,0.09272440223010706
tobacco,2000s,0.0401151845169249,0.03441804243104591,0.045728338616380405
other_crop,2000s,0.0985504250058086,0.08644817217611764,0.11092652978451348
other_model_organism,2000s,0.0927779994507527,0.08150883680727881,0.10371073091230407
non_specific,2000s,0.1021170157057873,0.0891036135212945,0.11376357570293029
arabidopsis,2010s,0.0375910964050019,0.03200239468251527,0.04307133804266585
rice,2010s,0.0489792405359417,0.04223203363794894,0.0560300184763193
wheat,2010s,0.0465965292102701,0.040049614531299085,0.05350933034579507
maize,2010s,0.0464831282795159,0.04007560263589258,0.05289838255427853
soybean,2010s,0.0434765011359419,0.037276932352069046,0.04998805329674028
tomato,2010s,0.0562444122051855,0.04872278278050026,0.06405944415992598
barley,2010s,0.0537192334937672,0.04623833845273886,0.06044918359740832
cotton,2010s,0.0226936773392401,0.018452810997541917,0.026908671760511073
potato,2010s,0.0363700783665268,0.03143718907018961,0.04216251990034768
tobacco,2010s,-0.0353774025153788,-0.04063704441724367,-0.03027318649941626
other_crop,2010s,0.0549612906025667,0.04746884030328719,0.0620738388615817
other_model_organism,2010s,0.0487885901745845,0.04179189183944553,0.055341383442562855
non_specific,2010s,0.0494442435404458,0.04265089699532394,0.055954496206759165
arabidopsis,2020s,-0.0641237113309128,-0.07286835794169429,-0.05668908307719586
rice,2020s,0.0074060847364836,0.004892883345497508,0.009995492591721698
wheat,2020s,-0.0239384877121175,-0.028118286852134456,-0.019886315969439804
maize,2020s,-0.0118806939954625,-0.014915400201160714,-0.008759218475881772
soybean,2020s,-0.0174107976309072,-0.021070306494256202,-0.013638410930114291
tomato,2020s,0.0212620534528411,0.017443015227007978,0.025380668872436445
barley,2020s,-0.0170400090696378,-0.020811551436686178,-0.013621623075511458
cotton,2020s,-0.006304641283314,-0.008881693451014468,-0.0036589342681077478
potato,2020s,-0.0257134133437766,-0.030379277523729736,-0.021409121689781725
tobacco,2020s,0.0367548709789717,0.030811118810115886,0.042586340699148864
other_crop,2020s,-0.0017945339238268,-0.003918405717243362,0.0003554836027878803
other_model_organism,2020s,-0.0396502284722275,-0.04530146503131903,-0.03344068493848603
non_specific,2020s,-0.0298255813277095,-0.03462320316904716,-0.025143338261101707
