iteration,t0_boot,t0_ci_lower,t0_ci_upper
1,2006.2494802176197,,
2,2006.9682322759645,,
3,2009.7416326628852,,
4,2006.1591463661443,,
5,2005.2290703757624,,
6,2005.7853224726568,,
7,2010.123591400849,,
8,2004.9903280034707,,
9,2007.7482369490228,,
10,2003.752220074234,,
11,2008.3424206469135,,
12,2006.2472300763259,,
13,2005.3362334725846,,
14,2008.5292442918324,,
15,2005.8680653281883,,
16,2005.7614710942817,,
17,2005.991622360376,,
18,2007.448774120419,,
19,2005.9343822432597,,
20,2003.912456087884,,
21,2005.4573022483883,,
22,2005.209406450861,,
23,2007.2310879866593,,
24,2005.9836231723757,,
25,2005.3430439546783,,
26,2008.1751869566106,,
27,2005.0024815567683,,
28,2004.4704544404922,,
29,2004.9377465860357,,
30,2014.2892313674422,,
31,2004.8747742867183,,
32,2005.563598427363,,
33,2010.4031730343725,,
34,2007.309340611591,,
35,2004.890087428472,,
36,2004.8026806198502,,
37,2008.294763683309,,
38,2007.6326609871412,,
39,2004.9589048953317,,
40,2005.6135260475357,,
41,2006.0037228837796,,
42,2005.5252107086212,,
43,2008.8172163150875,,
44,2008.251548063104,,
45,2005.116700882124,,
46,2010.4285428549185,,
47,2004.6277169722284,,
48,2005.1634149516976,,
49,2006.3539242513605,,
50,2006.7281058144322,,
51,2006.7241759526532,,
52,2007.6978621759965,,
53,2004.8730311068705,,
54,2009.256098721771,,
55,2009.9141721281908,,
56,2006.7949797850458,,
57,2005.2835987917872,,
58,2005.731237379538,,
59,2004.1313445837845,,
60,2008.4805779476212,,
61,2004.6372973811879,,
62,2005.1817773078446,,
63,2007.1977345055468,,
64,2005.2657208131575,,
65,2004.4166399666453,,
66,2007.001297988776,,
67,2017.8658700499193,,
68,2004.9533805493302,,
69,2006.1021223163057,,
70,2010.3008483413998,,
71,2010.3987138638552,,
72,2005.7257084341607,,
73,2005.0201055682755,,
74,2005.3766036127777,,
75,2004.8951081390255,,
76,2006.1874461608656,,
77,2005.1925065975095,,
78,2009.8639456905528,,
79,2005.3860722293186,,
80,2005.5395712006668,,
81,2004.3359734887576,,
82,2006.702568409002,,
83,2004.6898242826496,,
84,2007.3774838885806,,
85,2004.1145219104203,,
86,2005.8975428946262,,
87,2007.1506134186122,,
88,2014.5533730199163,,
89,2011.1376590634752,,
90,2006.9690918033525,,
91,2004.4708725783978,,
