organism,year,median_citations,mean_citations,n_papers
arabidopsis,1990,17.5,165.0,78
arabidopsis,1991,38.0,128.7792207792208,133
arabidopsis,1992,37.0,123.34117647058824,171
arabidopsis,1993,66.0,167.78358208955223,189
arabidopsis,1994,40.0,160.75581395348837,236
arabidopsis,1995,62.0,150.55102040816325,288
arabidopsis,1996,62.0,150.4136690647482,389
arabidopsis,1997,60.0,154.61986301369862,419
arabidopsis,1998,54.0,177.92807424593968,574
arabidopsis,1999,63.0,174.10161662817552,587
arabidopsis,2000,67.0,190.77029360967185,797
arabidopsis,2001,57.0,142.84470246734398,915
arabidopsis,2002,71.0,169.94509345794393,1149
arabidopsis,2003,74.0,151.9610810810811,1205
arabidopsis,2004,65.0,151.93853211009176,1435
arabidopsis,2005,57.0,141.8590078328982,1519
arabidopsis,2006,53.0,134.35171919770772,1744
arabidopsis,2007,50.0,117.22549019607843,1932
arabidopsis,2008,36.5,94.80379041248607,2213
arabidopsis,2009,36.0,92.28458942632172,2226
arabidopsis,2010,36.0,86.33742331288343,2432
arabidopsis,2011,32.0,76.97128975265018,2773
arabidopsis,2012,31.0,69.31835363292734,2952
arabidopsis,2013,30.0,63.2991224723388,3318
arabidopsis,2014,32.0,62.246498599439775,3090
arabidopsis,2015,26.0,51.448342328450266,3170
arabidopsis,2016,29.0,50.94251497005988,3085
arabidopsis,2017,24.0,43.46150824823252,2998
arabidopsis,2018,23.0,38.61669902912622,3036
arabidopsis,2019,17.0,33.88759424263194,3390
arabidopsis,2020,13.0,26.810106211779853,3603
arabidopsis,2021,11.0,22.54251144538914,3545
arabidopsis,2022,7.0,16.194434534427398,3270
arabidopsis,2023,3.0,10.654643449419568,2905
arabidopsis,2024,2.0,5.965432098765432,2764
barley,1990,10.0,20.724137931034484,254
barley,1991,9.0,25.81858407079646,248
barley,1992,12.0,25.700389105058367,280
barley,1993,8.0,20.026315789473685,259
barley,1994,10.0,22.01769911504425,244
barley,1995,9.0,24.862745098039216,276
barley,1996,10.5,33.51709401709402,259
barley,1997,11.0,23.924107142857142,246
barley,1998,7.0,24.78538812785388,246
barley,1999,11.0,30.360995850622405,270
barley,2000,8.0,33.95330739299611,277
barley,2001,7.0,25.616788321167885,308
barley,2002,7.0,37.53979238754325,344
barley,2003,7.0,28.83383685800604,382
barley,2004,7.0,34.33606557377049,411
barley,2005,3.0,30.876582278481013,351
barley,2006,5.0,34.24715909090909,407
barley,2007,3.0,25.558536585365854,463
barley,2008,5.0,24.403930131004365,517
barley,2009,3.0,20.023941068139962,579
barley,2010,4.0,33.9010101010101,537
barley,2011,2.0,19.565298507462686,589
barley,2012,1.0,19.261943986820427,661
barley,2013,1.0,16.04809286898839,650
barley,2014,1.0,16.58211382113821,671
barley,2015,1.0,12.637015781922525,746
barley,2016,3.0,17.82125603864734,700
barley,2017,2.0,17.95581014729951,665
barley,2018,1.0,11.577611940298507,719
barley,2019,1.0,12.03684879288437,860
barley,2020,2.0,11.904704463208684,873
barley,2021,1.0,6.87152034261242,1001
barley,2022,1.0,6.713125845737483,804
barley,2023,1.0,3.9023668639053253,763
barley,2024,0.0,2.292413793103448,815
cotton,1990,2.0,11.016666666666667,184
cotton,1991,6.0,18.685897435897434,164
cotton,1992,3.0,23.147465437788018,224
cotton,1993,2.0,15.067796610169491,184
cotton,1994,3.0,21.08235294117647,174
cotton,1995,2.0,21.817708333333332,196
cotton,1996,2.0,15.340659340659341,190
cotton,1997,4.0,16.03553299492386,210
cotton,1998,3.0,22.770833333333332,252
cotton,1999,1.0,15.256317689530686,286
cotton,2000,1.0,10.775061124694377,433
cotton,2001,1.0,13.477541371158392,466
cotton,2002,1.0,13.533007334963326,433
cotton,2003,1.0,15.137214137214137,510
cotton,2004,0.0,11.262672811059907,689
cotton,2005,1.0,12.892733564013842,610
cotton,2006,1.0,11.280864197530864,671
cotton,2007,1.0,9.942938659058488,759
cotton,2008,1.0,8.729468599033817,874
cotton,2009,1.0,10.46375,850
cotton,2010,1.0,8.228110599078342,916
cotton,2011,1.0,8.598425196850394,933
cotton,2012,1.0,10.338530066815144,949
cotton,2013,1.0,10.644859813084112,1030
cotton,2014,1.0,11.727803738317757,917
cotton,2015,2.0,14.385644768856448,889
cotton,2016,2.0,14.54645476772616,888
cotton,2017,2.0,14.403865717192268,1050
cotton,2018,1.0,12.964467005076141,1052
cotton,2019,1.0,12.26240458015267,1121
cotton,2020,1.0,9.544952681388013,1321
cotton,2021,1.0,8.678189300411523,1295
cotton,2022,1.0,7.425910245554615,1244
cotton,2023,1.0,5.14100185528757,1145
cotton,2024,0.0,2.5867768595041323,1288
maize,1990,6.0,25.939705882352943,806
maize,1991,10.0,24.63948497854077,834
maize,1992,10.0,27.19969512195122,799
maize,1993,9.0,26.65341812400636,760
maize,1994,12.0,38.05865522174535,824
maize,1995,9.0,25.706563706563706,870
maize,1996,7.0,29.005412719891744,827
maize,1997,9.0,31.15012406947891,888
maize,1998,7.0,31.121951219512194,936
maize,1999,5.0,27.52695269526953,1033
maize,2000,3.0,25.656079854809438,1250
maize,2001,3.0,23.45977011494253,1399
maize,2002,3.0,26.19494869771113,1465
maize,2003,3.0,25.884643644379132,1609
maize,2004,2.0,22.775397373876988,1683
maize,2005,2.0,21.70959902794654,1904
maize,2006,2.0,20.89281767955801,2068
maize,2007,2.0,16.652045342533267,2306
maize,2008,2.0,18.62877358490566,2421
maize,2009,1.0,20.356370656370657,2867
maize,2010,1.0,15.367807446408424,2989
maize,2011,1.0,14.89132635842052,3307
maize,2012,1.0,14.06944,3517
maize,2013,1.0,13.536458333333334,3627
maize,2014,2.0,14.05113135468704,3808
maize,2015,2.0,14.576638007708272,3762
maize,2016,2.0,14.733169382108823,3702
maize,2017,2.0,16.246647957592767,3647
maize,2018,2.0,12.824244060475163,4129
maize,2019,1.0,11.86367041198502,4499
maize,2020,2.0,11.09183895538629,5034
maize,2021,1.0,9.694759206798867,4680
maize,2022,2.0,8.437690742624618,4365
maize,2023,1.0,4.977954370674186,4351
maize,2024,0.0,2.482054890921886,4799
non_specific,1990,3.0,18.729631749666094,12373
non_specific,1991,4.0,24.295459215122253,11739
non_specific,1992,3.0,21.41698292220114,12560
non_specific,1993,3.0,22.178968179250614,12673
non_specific,1994,3.0,18.908396252160465,13357
non_specific,1995,3.0,22.187543372657878,13676
non_specific,1996,2.0,19.440714629065855,14800
