year,organism,rank
1990,arabidopsis,13
1990,rice,5
1990,wheat,4
1990,maize,3
1990,soybean,6
1990,tomato,8
1990,barley,9
1990,cotton,11
1990,potato,10
1990,tobacco,7
1990,other_crop,2
1990,other_model_organism,12
1990,non_specific,1
1991,arabidopsis,12
1991,rice,5
1991,wheat,4
1991,maize,3
1991,soybean,6
1991,tomato,8
1991,barley,9
1991,cotton,11
1991,potato,10
1991,tobacco,7
1991,other_crop,2
1991,other_model_organism,13
1991,non_specific,1
1992,arabidopsis,12
1992,rice,5
1992,wheat,3
1992,maize,3
1992,soybean,6
1992,tomato,8
1992,barley,9
1992,cotton,10
1992,potato,11
1992,tobacco,7
1992,other_crop,2
1992,other_model_organism,13
1992,non_specific,1
1993,arabidopsis,11
1993,rice,5
1993,wheat,3
1993,maize,4
1993,soybean,6
1993,tomato,8
1993,barley,9
1993,cotton,12
1993,potato,10
1993,tobacco,7
1993,other_crop,2
1993,other_model_organism,13
1993,non_specific,1
1994,arabidopsis,11
1994,rice,5
1994,wheat,3
1994,maize,4
1994,soybean,7
1994,tomato,8
1994,barley,10
1994,cotton,12
1994,potato,9
1994,tobacco,6
1994,other_crop,2
1994,other_model_organism,13
1994,non_specific,1
1995,arabidopsis,9
1995,rice,5
1995,wheat,3
1995,maize,4
1995,soybean,6
1995,tomato,8
1995,barley,10
1995,cotton,12
1995,potato,11
1995,tobacco,7
1995,other_crop,2
1995,other_model_organism,13
1995,non_specific,1
1996,arabidopsis,9
1996,rice,5
1996,wheat,3
1996,maize,4
1996,soybean,7
1996,tomato,8
1996,barley,11
1996,cotton,12
1996,potato,10
1996,tobacco,6
1996,other_crop,2
1996,other_model_organism,13
1996,non_specific,1
1997,arabidopsis,8
1997,rice,5
1997,wheat,4
1997,maize,3
1997,soybean,7
1997,tomato,9
1997,barley,11
1997,cotton,12
1997,potato,10
1997,tobacco,6
1997,other_crop,2
1997,other_model_organism,13
1997,non_specific,1
1998,arabidopsis,6
1998,rice,4
1998,wheat,4
1998,maize,3
1998,soybean,7
1998,tomato,9
1998,barley,12
1998,cotton,11
1998,potato,10
1998,tobacco,8
1998,other_crop,2
1998,other_model_organism,13
1998,non_specific,1
1999,arabidopsis,6
1999,rice,5
1999,wheat,3
1999,maize,4
1999,soybean,8
1999,tomato,9
1999,barley,12
1999,cotton,10
1999,potato,11
1999,tobacco,7
1999,other_crop,2
1999,other_model_organism,13
1999,non_specific,1
2000,arabidopsis,6
2000,rice,4
2000,wheat,3
2000,maize,5
2000,soybean,7
2000,tomato,8
2000,barley,13
2000,cotton,10
2000,potato,12
2000,tobacco,9
2000,other_crop,2
2000,other_model_organism,11
2000,non_specific,1
2001,arabidopsis,6
2001,rice,3
2001,wheat,4
2001,maize,5
2001,soybean,7
2001,tomato,9
2001,barley,13
2001,cotton,10
2001,potato,11
2001,tobacco,8
2001,other_crop,2
2001,other_model_organism,12
2001,non_specific,1
2002,arabidopsis,6
2002,rice,3
2002,wheat,4
2002,maize,5
2002,soybean,7
2002,tomato,8
2002,barley,13
2002,cotton,11
2002,potato,10
2002,tobacco,9
2002,other_crop,2
2002,other_model_organism,12
2002,non_specific,1
2003,arabidopsis,6
2003,rice,3
2003,wheat,4
2003,maize,5
2003,soybean,7
2003,tomato,8
2003,barley,13
2003,cotton,9
2003,potato,11
2003,tobacco,10
2003,other_crop,2
2003,other_model_organism,12
2003,non_specific,1
2004,arabidopsis,6
2004,rice,3
2004,wheat,4
2004,maize,5
2004,soybean,7
2004,tomato,8
2004,barley,13
2004,cotton,9
2004,potato,12
2004,tobacco,10
2004,other_crop,2
2004,other_model_organism,11
2004,non_specific,1
2005,arabidopsis,6
2005,rice,4
2005,wheat,3
2005,maize,5
2005,soybean,8
2005,tomato,7
2005,barley,13
2005,cotton,9
2005,potato,11
2005,tobacco,12
2005,other_crop,2
2005,other_model_organism,10
2005,non_specific,1
2006,arabidopsis,6
2006,rice,3
2006,wheat,4
2006,maize,5
2006,soybean,8
2006,tomato,7
2006,barley,13
2006,cotton,9
2006,potato,12
2006,tobacco,10
2006,other_crop,2
2006,other_model_organism,11
2006,non_specific,1
2007,arabidopsis,6
2007,rice,3
2007,wheat,4
2007,maize,5
2007,soybean,7
2007,tomato,8
2007,barley,13
2007,cotton,9
2007,potato,12
2007,tobacco,11
2007,other_crop,2
2007,other_model_organism,10
2007,non_specific,1
2008,arabidopsis,6
2008,rice,3
2008,wheat,4
2008,maize,5
2008,soybean,7
2008,tomato,8
2008,barley,13
2008,cotton,9
2008,potato,12
2008,tobacco,11
2008,other_crop,2
2008,other_model_organism,10
2008,non_specific,1
2009,arabidopsis,6
2009,rice,3
2009,wheat,4
2009,maize,5
2009,soybean,7
2009,tomato,8
2009,barley,13
2009,cotton,9
2009,potato,12
2009,tobacco,11
2009,other_crop,2
2009,other_model_organism,10
2009,non_specific,1
2010,arabidopsis,6
2010,rice,3
2010,wheat,4
2010,maize,5
2010,soybean,7
2010,tomato,8
2010,barley,13
2010,cotton,9
2010,potato,12
2010,tobacco,10
2010,other_crop,2
2010,other_model_organism,11
2010,non_specific,1
2011,arabidopsis,6
2011,rice,3
2011,wheat,4
2011,maize,5
2011,soybean,7
2011,tomato,8
2011,barley,13
2011,cotton,11
2011,potato,12
2011,tobacco,10
2011,other_crop,2
2011,other_model_organism,9
2011,non_specific,1
2012,arabidopsis,6
2012,rice,3
2012,wheat,4
2012,maize,5
2012,soybean,8
2012,tomato,7
2012,barley,13
2012,cotton,11
2012,potato,12
2012,tobacco,9
2012,other_crop,2
2012,other_model_organism,10
2012,non_specific,1
2013,arabidopsis,6
2013,rice,3
2013,wheat,4
2013,maize,5
2013,soybean,8
2013,tomato,7
2013,barley,13
2013,cotton,10
2013,potato,11
2013,tobacco,12
2013,other_crop,2
2013,other_model_organism,9
2013,non_specific,1
2014,arabidopsis,6
2014,rice,3
2014,wheat,4
2014,maize,5
2014,soybean,8
2014,tomato,7
2014,barley,13
2014,cotton,11
2014,potato,10
2014,tobacco,12
2014,other_crop,2
2014,other_model_organism,9
2014,non_specific,1
2015,arabidopsis,6
2015,rice,3
2015,wheat,4
2015,maize,5
2015,soybean,8
2015,tomato,7
2015,barley,13
2015,cotton,11
2015,potato,10
2015,tobacco,12
2015,other_crop,2
2015,other_model_organism,9
2015,non_specific,1
2016,arabidopsis,6
2016,rice,3
2016,wheat,5
2016,maize,4
2016,soybean,8
2016,tomato,7
2016,barley,12
2016,cotton,10
2016,potato,11
2016,tobacco,13
2016,other_crop,2
2016,other_model_organism,9
2016,non_specific,1
2017,arabidopsis,6
2017,rice,3
2017,wheat,4
2017,maize,5
2017,soybean,8
2017,tomato,7
2017,barley,12
2017,cotton,9
2017,potato,11
2017,tobacco,13
2017,other_crop,2
2017,other_model_organism,10
2017,non_specific,1
2018,arabidopsis,6
2018,rice,3
2018,wheat,4
2018,maize,5
2018,soybean,8
2018,tomato,7
2018,barley,12
2018,cotton,9
2018,potato,10
2018,tobacco,13
2018,other_crop,2
2018,other_model_organism,11
2018,non_specific,1
2019,arabidopsis,6
2019,rice,3
2019,wheat,4
2019,maize,5
2019,soybean,8
2019,tomato,7
2019,barley,12
2019,cotton,10
2019,potato,11
