organism_a,organism_b,decade,cosine_similarity
arabidopsis,barley,1990s,0.9631845951080322
arabidopsis,cotton,1990s,0.9477431774139404
arabidopsis,maize,1990s,0.9572845101356506
arabidopsis,non_specific,1990s,0.953784704208374
arabidopsis,other_crop,1990s,0.9622484445571899
arabidopsis,other_model_organism,1990s,0.9664760231971741
arabidopsis,potato,1990s,0.9629545211791992
arabidopsis,rice,1990s,0.9560884237289429
arabidopsis,soybean,1990s,0.96487957239151
arabidopsis,tobacco,1990s,0.9805378913879395
arabidopsis,tomato,1990s,0.9734896421432495
arabidopsis,wheat,1990s,0.9596930146217346
barley,cotton,1990s,0.973914384841919
barley,maize,1990s,0.9875105619430542
barley,non_specific,1990s,0.9753397703170776
barley,other_crop,1990s,0.9825199842453003
barley,other_model_organism,1990s,0.9757506251335144
barley,potato,1990s,0.9749672412872314
barley,rice,1990s,0.9738202691078186
barley,soybean,1990s,0.9814976453781128
barley,tobacco,1990s,0.9699594378471375
barley,tomato,1990s,0.9740694761276245
barley,wheat,1990s,0.9907107353210449
cotton,maize,1990s,0.9837564826011658
cotton,non_specific,1990s,0.9812009334564209
cotton,other_crop,1990s,0.9894391894340515
cotton,other_model_organism,1990s,0.9816204309463501
cotton,potato,1990s,0.9761712551116943
cotton,rice,1990s,0.978692889213562
cotton,soybean,1990s,0.9830699563026428
cotton,tobacco,1990s,0.9635319709777832
cotton,tomato,1990s,0.9738872647285461
cotton,wheat,1990s,0.9832422137260437
maize,non_specific,1990s,0.9813735485076904
maize,other_crop,1990s,0.9870427846908569
maize,other_model_organism,1990s,0.9811127185821533
maize,potato,1990s,0.9757232666015625
maize,rice,1990s,0.9766074419021606
maize,soybean,1990s,0.9904501438140869
maize,tobacco,1990s,0.969720721244812
maize,tomato,1990s,0.9750537872314453
maize,wheat,1990s,0.9912909269332886
non_specific,other_crop,1990s,0.9916714429855347
non_specific,other_model_organism,1990s,0.9869977235794067
non_specific,potato,1990s,0.9758878946304321
non_specific,rice,1990s,0.9793625473976135
non_specific,soybean,1990s,0.9791181087493896
non_specific,tobacco,1990s,0.9751381874084473
non_specific,tomato,1990s,0.9754813313484192
non_specific,wheat,1990s,0.9787547588348389
other_crop,other_model_organism,1990s,0.9921592473983765
other_crop,potato,1990s,0.9867826700210571
other_crop,rice,1990s,0.9834544062614441
other_crop,soybean,1990s,0.9878342747688293
other_crop,tobacco,1990s,0.977684736251831
other_crop,tomato,1990s,0.988071858882904
other_crop,wheat,1990s,0.9880032539367676
other_model_organism,potato,1990s,0.9802494049072266
other_model_organism,rice,1990s,0.9745381474494934
other_model_organism,soybean,1990s,0.9814097881317139
other_model_organism,tobacco,1990s,0.9777145385742188
other_model_organism,tomato,1990s,0.9819517731666565
other_model_organism,wheat,1990s,0.9801872372627258
potato,rice,1990s,0.9716299772262573
potato,soybean,1990s,0.9802616834640503
potato,tobacco,1990s,0.9799656867980957
potato,tomato,1990s,0.9901008009910583
potato,wheat,1990s,0.9772406816482544
rice,soybean,1990s,0.9793593287467957
rice,tobacco,1990s,0.9663594961166382
rice,tomato,1990s,0.9722697138786316
rice,wheat,1990s,0.9800311923027039
soybean,tobacco,1990s,0.9732996225357056
soybean,tomato,1990s,0.9822998642921448
soybean,wheat,1990s,0.9866626262664795
tobacco,tomato,1990s,0.9825435876846313
tobacco,wheat,1990s,0.9690580368041992
tomato,wheat,1990s,0.9768366813659668
arabidopsis,barley,2000s,0.9645214080810547
arabidopsis,cotton,2000s,0.9488372206687927
arabidopsis,maize,2000s,0.9534727931022644
arabidopsis,non_specific,2000s,0.9511722326278687
arabidopsis,other_crop,2000s,0.9594002366065979
arabidopsis,other_model_organism,2000s,0.9691131114959717
arabidopsis,potato,2000s,0.9607597589492798
arabidopsis,rice,2000s,0.9588503837585449
arabidopsis,soybean,2000s,0.9597305059432983
arabidopsis,tobacco,2000s,0.9789127111434937
arabidopsis,tomato,2000s,0.9678728580474854
arabidopsis,wheat,2000s,0.9573218822479248
barley,cotton,2000s,0.9754940271377563
barley,maize,2000s,0.9853285551071167
barley,non_specific,2000s,0.9743711948394775
barley,other_crop,2000s,0.9827135801315308
barley,other_model_organism,2000s,0.9776061177253723
barley,potato,2000s,0.9757596254348755
barley,rice,2000s,0.978223443031311
barley,soybean,2000s,0.9792807102203369
barley,tobacco,2000s,0.9721877574920654
barley,tomato,2000s,0.9742815494537354
barley,wheat,2000s,0.9895712733268738
cotton,maize,2000s,0.9848659038543701
cotton,non_specific,2000s,0.9824866652488708
cotton,other_crop,2000s,0.9891389608383179
cotton,other_model_organism,2000s,0.9814401865005493
cotton,potato,2000s,0.9748464822769165
cotton,rice,2000s,0.9841507077217102
cotton,soybean,2000s,0.9869745969772339
cotton,tobacco,2000s,0.973625123500824
cotton,tomato,2000s,0.9758338928222656
cotton,wheat,2000s,0.9847724437713623
maize,non_specific,2000s,0.983609676361084
maize,other_crop,2000s,0.9885830879211426
maize,other_model_organism,2000s,0.9830514192581177
maize,potato,2000s,0.9749556183815002
maize,rice,2000s,0.9819533228874207
maize,soybean,2000s,0.9900513291358948
maize,tobacco,2000s,0.9711635708808899
maize,tomato,2000s,0.9766614437103271
maize,wheat,2000s,0.9900679588317871
non_specific,other_crop,2000s,0.9921411871910095
non_specific,other_model_organism,2000s,0.9869709014892578
non_specific,potato,2000s,0.9758596420288086
non_specific,rice,2000s,0.9763343930244446
non_specific,soybean,2000s,0.981723427772522
non_specific,tobacco,2000s,0.977092981338501
non_specific,tomato,2000s,0.9774500131607056
non_specific,wheat,2000s,0.9778777360916138
other_crop,other_model_organism,2000s,0.9918509125709534
other_crop,potato,2000s,0.9865564107894897
other_crop,rice,2000s,0.9838235974311829
other_crop,soybean,2000s,0.9886717796325684
other_crop,tobacco,2000s,0.9835740327835083
other_crop,tomato,2000s,0.9891439080238342
other_crop,wheat,2000s,0.9869676232337952
other_model_organism,potato,2000s,0.9795491695404053
other_model_organism,rice,2000s,0.9776402115821838
other_model_organism,soybean,2000s,0.9824228286743164
other_model_organism,tobacco,2000s,0.9843026399612427
other_model_organism,tomato,2000s,0.9828616380691528
other_model_organism,wheat,2000s,0.979722797870636
potato,rice,2000s,0.970944344997406
potato,soybean,2000s,0.9784296154975891
potato,tobacco,2000s,0.9832085371017456
potato,tomato,2000s,0.9907658100128174
potato,wheat,2000s,0.9750714898109436
rice,soybean,2000s,0.9858818650245667
rice,tobacco,2000s,0.9759930968284607
rice,tomato,2000s,0.9739588499069214
rice,wheat,2000s,0.9866999983787537
soybean,tobacco,2000s,0.9781381487846375
soybean,tomato,2000s,0.9817186594009399
soybean,wheat,2000s,0.9868772625923157
tobacco,tomato,2000s,0.985999584197998
tobacco,wheat,2000s,0.9736611247062683
tomato,wheat,2000s,0.9761446118354797
arabidopsis,barley,2010s,0.9649196863174438
arabidopsis,cotton,2010s,0.9565223455429077
arabidopsis,maize,2010s,0.9523774981498718
arabidopsis,non_specific,2010s,0.9520612955093384
arabidopsis,other_crop,2010s,0.9596201181411743
arabidopsis,other_model_organism,2010s,0.9752299785614014
arabidopsis,potato,2010s,0.959256649017334
arabidopsis,rice,2010s,0.9624488949775696
arabidopsis,soybean,2010s,0.9637251496315002
arabidopsis,tobacco,2010s,0.9783841371536255
arabidopsis,tomato,2010s,0.9676815867424011
arabidopsis,wheat,2010s,0.9593420624732971
barley,cotton,2010s,0.9833669662475586
barley,maize,2010s,0.9867548942565918
barley,non_specific,2010s,0.9784741401672363
barley,other_crop,2010s,0.9863077402114868
barley,other_model_organism,2010s,0.9811735153198242
barley,potato,2010s,0.9778233170509338
barley,rice,2010s,0.9859341382980347
barley,soybean,2010s,0.9850224256515503
barley,tobacco,2010s,0.9752731323242188
barley,tomato,2010s,0.976783275604248
barley,wheat,2010s,0.9921818971633911
cotton,maize,2010s,0.9863682389259338
cotton,non_specific,2010s,0.9827078580856323
cotton,other_crop,2010s,0.9907834529876709
cotton,other_model_organism,2010s,0.9827964901924133
cotton,potato,2010s,0.9812496900558472
cotton,rice,2010s,0.9871519804000854
cotton,soybean,2010s,0.9886170625686646
cotton,tobacco,2010s,0.9806886911392212
cotton,tomato,2010s,0.9812580347061157
cotton,wheat,2010s,0.9869214296340942
maize,non_specific,2010s,0.982820451259613
maize,other_crop,2010s,0.9896262884140015
maize,other_model_organism,2010s,0.9829515814781189
maize,potato,2010s,0.9776828289031982
maize,rice,2010s,0.986802875995636
maize,soybean,2010s,0.9916341304779053
maize,tobacco,2010s,0.9734517335891724
maize,tomato,2010s,0.9787086248397827
maize,wheat,2010s,0.9913502335548401
non_specific,other_crop,2010s,0.9920891523361206
non_specific,other_model_organism,2010s,0.9866926074028015
non_specific,potato,2010s,0.9804568290710449
non_specific,rice,2010s,0.977911651134491
non_specific,soybean,2010s,0.9830522537231445
non_specific,tobacco,2010s,0.9794094562530518
non_specific,tomato,2010s,0.9801061749458313
non_specific,wheat,2010s,0.9783074259757996
other_crop,other_model_organism,2010s,0.9905173182487488
other_crop,potato,2010s,0.9890798330307007
other_crop,rice,2010s,0.9873265624046326
other_crop,soybean,2010s,0.9904330968856812
other_crop,tobacco,2010s,0.9860330820083618
other_crop,tomato,2010s,0.9906342029571533
other_crop,wheat,2010s,0.9882404804229736
other_model_organism,potato,2010s,0.9817475080490112
other_model_organism,rice,2010s,0.9801555275917053
other_model_organism,soybean,2010s,0.9845806360244751
other_model_organism,tobacco,2010s,0.9873437285423279
other_model_organism,tomato,2010s,0.9843486547470093
other_model_organism,wheat,2010s,0.9808415174484253
potato,rice,2010s,0.9779682159423828
potato,soybean,2010s,0.9825157523155212
potato,tobacco,2010s,0.984768271446228
potato,tomato,2010s,0.9912813901901245
potato,wheat,2010s,0.9784842133522034
rice,soybean,2010s,0.9883643984794617
rice,tobacco,2010s,0.9797995686531067
rice,tomato,2010s,0.9799028038978577
rice,wheat,2010s,0.9894381761550903
soybean,tobacco,2010s,0.9818204641342163
soybean,tomato,2010s,0.9849358797073364
soybean,wheat,2010s,0.9889950752258301
tobacco,tomato,2010s,0.9880856871604919
tobacco,wheat,2010s,0.9758352041244507
tomato,wheat,2010s,0.9788991808891296
arabidopsis,barley,2020s,0.9645090699195862
arabidopsis,cotton,2020s,0.9622087478637695
arabidopsis,maize,2020s,0.9534255266189575
arabidopsis,non_specific,2020s,0.9526036977767944
arabidopsis,other_crop,2020s,0.9601825475692749
arabidopsis,other_model_organism,2020s,0.9786176681518555
arabidopsis,potato,2020s,0.9607983827590942
arabidopsis,rice,2020s,0.9635212421417236
arabidopsis,soybean,2020s,0.9641196131706238
arabidopsis,tobacco,2020s,0.9835378527641296
arabidopsis,tomato,2020s,0.96846604347229
arabidopsis,wheat,2020s,0.9606077075004578
barley,cotton,2020s,0.9854589700698853
barley,maize,2020s,0.9876959919929504
barley,non_specific,2020s,0.9787468314170837
barley,other_crop,2020s,0.9873355627059937
barley,other_model_organism,2020s,0.9815388321876526
barley,potato,2020s,0.9798316955566406
barley,rice,2020s,0.9873744249343872
barley,soybean,2020s,0.9866285920143127
barley,tobacco,2020s,0.9750393629074097
barley,tomato,2020s,0.9774540662765503
barley,wheat,2020s,0.9929702281951904
cotton,maize,2020s,0.9868597388267517
cotton,non_specific,2020s,0.9844579100608826
cotton,other_crop,2020s,0.9915369153022766
cotton,other_model_organism,2020s,0.9846559166908264
cotton,potato,2020s,0.9841134548187256
cotton,rice,2020s,0.9879149198532104
cotton,soybean,2020s,0.9886078834533691
cotton,tobacco,2020s,0.9816778898239136
cotton,tomato,2020s,0.9833241105079651
cotton,wheat,2020s,0.9873674511909485
maize,non_specific,2020s,0.9833519458770752
maize,other_crop,2020s,0.9909940361976624
maize,other_model_organism,2020s,0.9825031161308289
maize,potato,2020s,0.980427622795105
maize,rice,2020s,0.988886296749115
maize,soybean,2020s,0.9926449060440063
maize,tobacco,2020s,0.9721939563751221
maize,tomato,2020s,0.9805257320404053
maize,wheat,2020s,0.9917392730712891
non_specific,other_crop,2020s,0.9919642806053162
non_specific,other_model_organism,2020s,0.9854650497436523
non_specific,potato,2020s,0.983071506023407
non_specific,rice,2020s,0.9797191023826599
non_specific,soybean,2020s,0.9831801652908325
non_specific,tobacco,2020s,0.979198694229126
non_specific,tomato,2020s,0.9813991785049438
non_specific,wheat,2020s,0.9795710444450378
other_crop,other_model_organism,2020s,0.9898563623428345
other_crop,potato,2020s,0.9908949136734009
other_crop,rice,2020s,0.9888561367988586
other_crop,soybean,2020s,0.9907186627388
other_crop,tobacco,2020s,0.9842547178268433
other_crop,tomato,2020s,0.9909271001815796
other_crop,wheat,2020s,0.9888686537742615
other_model_organism,potato,2020s,0.9834420680999756
other_model_organism,rice,2020s,0.980877161026001
other_model_organism,soybean,2020s,0.9845554828643799
other_model_organism,tobacco,2020s,0.9897571802139282
other_model_organism,tomato,2020s,0.9848031401634216
other_model_organism,wheat,2020s,0.9808757305145264
potato,rice,2020s,0.9815486669540405
potato,soybean,2020s,0.9841312170028687
potato,tobacco,2020s,0.986068069934845
potato,tomato,2020s,0.9918627738952637
potato,wheat,2020s,0.9805627465248108
rice,soybean,2020s,0.9883787631988525
rice,tobacco,2020s,0.9778329133987427
rice,tomato,2020s,0.9819164872169495
rice,wheat,2020s,0.9903644323348999
soybean,tobacco,2020s,0.9796431660652161
soybean,tomato,2020s,0.985420286655426
soybean,wheat,2020s,0.9897090196609497
tobacco,tomato,2020s,0.9878779053688049
tobacco,wheat,2020s,0.9749459028244019
tomato,wheat,2020s,0.9796773195266724
