organism,n_sleeping_beauties,mean_sleep_duration,mean_awakening_year
other_crop,3262,8.94543225015328,2008.7008327994874
non_specific,894,7.356823266219239,2015.8385964912281
maize,444,8.47072072072072,2008.5233644859813
wheat,135,8.34074074074074,2007.1705426356589
soybean,126,7.76984126984127,2006.5040650406504
rice,109,6.834862385321101,2011.6990291262136
cotton,47,6.553191489361702,2007.1555555555556
arabidopsis,32,6.46875,2016.6129032258063
tobacco,29,8.379310344827585,2006.344827586207
potato,28,11.25,2012.7083333333333
tomato,22,7.636363636363637,2010.952380952381
barley,14,6.785714285714286,2001.7857142857142
other_model_organism,2,4.0,2016.0
