work_id,organism,beauty_score,sleep_years,awakening_year
W1536813126,arabidopsis,3.86,12,2022.0
W2083549317,arabidopsis,2.83,10,2019.0
W1952819087,arabidopsis,2.76,7,2021.0
W2041019572,arabidopsis,2.09,12,2022.0
W1710297534,arabidopsis,1.8,5,2018.0
W2170580793,arabidopsis,1.73,5,2017.0
W1596624717,arabidopsis,1.36,7,2022.0
W2110146119,arabidopsis,1.33,3,2011.0
W2041631141,arabidopsis,1.14,12,2022.0
W2113776804,arabidopsis,0.94,6,2021.0
W1521353530,arabidopsis,0.94,2,2012.0
W2140884441,arabidopsis,0.88,7,2020.0
W2141158604,arabidopsis,0.82,2,2014.0
W3151233126,arabidopsis,0.72,6,2020.0
W2060138551,arabidopsis,0.71,15,2018.0
W2107373833,arabidopsis,0.64,13,2019.0
W1997076507,arabidopsis,0.64,5,2017.0
W2180138958,arabidopsis,0.62,12,2015.0
W2040655141,arabidopsis,0.62,4,2018.0
W2074291176,arabidopsis,0.61,5,2005.0
W2057159203,barley,1.69,8,2012.0
W2057072017,barley,1.42,15,1995.0
W2075094041,barley,1.39,6,2009.0
W2123091964,barley,1.31,12,2007.0
W2087871574,barley,1.27,22,2007.0
W2148272130,barley,0.71,9,2017.0
W2152767889,barley,0.69,3,2015.0
W1623460559,barley,0.54,5,2020.0
W1983886324,barley,0.52,4,1985.0
W2015511269,barley,0.5,2,1993.0
W2051487137,barley,0.44,3,2002.0
W2107524249,barley,0.4,3,1991.0
W2011823799,barley,0.25,2,1973.0
W1884439047,barley,0.0,1,1999.0
W2107693603,cotton,4.02,14,2015.0
W2181236430,cotton,3.57,15,2015.0
W1954398280,cotton,3.12,7,2021.0
W2946336844,cotton,2.64,37,2021.0
W1983564589,cotton,1.96,5,2006.0
W2008089793,cotton,1.78,3,2015.0
W2946622482,cotton,1.78,3,1987.0
W2513886863,cotton,1.56,8,2006.0
W1747889609,cotton,1.45,4,2019.0
W2094517286,cotton,1.39,6,2020.0
W2153437968,cotton,1.39,9,2015.0
W2945749688,cotton,1.36,6,1987.0
W2469988433,cotton,1.36,17,2004.0
W2945348911,cotton,1.33,3,1987.0
W297380574,cotton,1.12,4,1984.0
W2005512186,cotton,1.04,12,2007.0
W2103741958,cotton,0.94,1,2015.0
W2128918062,cotton,0.92,4,2019.0
W2236250622,cotton,0.89,6,2021.0
W2172814012,cotton,0.8,7,2022.0
W1985471691,maize,9.67,18,2022.0
W2008166403,maize,9.12,25,2014.0
W2178741828,maize,6.28,20,2021.0
W89114796,maize,6.18,15,2012.0
W2050685506,maize,6.03,18,2021.0
W2463325157,maize,5.4,15,2012.0
W2077598069,maize,5.29,29,2013.0
W1987297838,maize,4.88,16,2010.0
W2005399097,maize,4.69,10,2017.0
W2056299572,maize,4.65,30,2021.0
W2299714172,maize,4.27,20,2020.0
W2048692794,maize,4.2,20,2013.0
W1974129211,maize,4.2,10,2022.0
W1972221674,maize,3.94,13,2012.0
W2069413448,maize,3.92,26,2018.0
W2036468520,maize,3.91,15,2022.0
W2414130771,maize,3.74,13,2006.0
