work_id,organism,cd_score,title,year
W2102953824,arabidopsis,1.0,Benzothiadiazole induces disease resistance in <i>Arabidopsis</i> by activation of the systemic acquired resistance signal transduction pathway,1996
W583784549,arabidopsis,1.0,Arabidopsis : a laboratory manual,2002
W1978661900,arabidopsis,1.0,Assignment of 30 Microsatellite Loci to the Linkage Map of Arabidopsis,1994
W4240574505,arabidopsis,1.0,Characterization of an Arabidopsis Mutant That Is Nonresponsive to Inducers of Systemic Acquired Resistance,1994
W2035874951,arabidopsis,1.0,Early embryogenesis in <i>Arabidopsis thaliana</i>. II. The developing embryo,1991
W4251284792,arabidopsis,1.0,Arabidopsis Flavonoid Mutants Are Hypersensitive to UV-B Irradiation,1993
W4242861156,arabidopsis,1.0,Salicylic Acid Induction-Deficient Mutants of Arabidopsis Express PR-2 and PR-5 and Accumulate High Levels of Camalexin after Pathogen Inoculation,1999
W2079421360,arabidopsis,1.0,Mutant of <i>Arabidopsis</i> Deficient in Xylem Loading of Phosphate,1991
W2130808155,arabidopsis,1.0,Correlation between the induction of a gene for Δ<sup>1</sup>‐pyrroline‐5‐carboxylate synthetase and the accumulation of proline in <i>Arabidopsis thaliana</i> under osmotic stress,1995
W2119405709,arabidopsis,1.0,Transformation of <i>Arabidopsis thaliana</i> with the <i>codA</i> gene for choline oxidase; accumulation of glycinebetaine and enhanced tolerance to salt and cold stress,1997
W1963701865,arabidopsis,1.0,Recombinant inbred lines for mapping RFLP and phenotypic markers in <i>Arabidopsis thaliana</i>,1993
W2978703830,arabidopsis,1.0,Phytochrome-mediated inhibition of shade avoidance involves degradation of growth-promoting bHLH transcription factors,2007
W1981663912,arabidopsis,1.0,The <i>SHOOT MERISTEMLESS</i> gene is required for maintenance of undifferentiated cells in <i>Arabidopsis</i> shoot and floral meristems and acts at a different regulatory level than the meristem genes <i>WUSCHEL</i> and <i>ZWILLE</i>,1996
W2015851559,arabidopsis,1.0,Morphogenesis in <i>pinoid</i> mutants of <i>Arabidopsis thaliana</i>,1995
W2134588184,arabidopsis,1.0,Isolation and characterization of abscisic acid‐deficient <i>Arabidopsis</i> mutants at two new loci,1996
W4229757499,arabidopsis,1.0,"A Novel cis-Acting Element in an Arabidopsis Gene Is Involved in Responsiveness to Drought, Low-Temperature, or High-Salt Stress",1994
W1998377076,arabidopsis,1.0,Systemic Acquired Resistance in<i>Arabidopsis</i>Requires Salicylic Acid but Not Ethylene,1995
W2015946583,arabidopsis,1.0,Autophagy in Development and Stress Responses of Plants,2006
W4243001760,arabidopsis,1.0,Growth Stage-Based Phenotypic Analysis of Arabidopsis: A Model for High Throughput Functional Genomics in Plants,2001
W2169922635,arabidopsis,1.0,Movement and subcellular localization of a tobamovirus in<i> Arabidopsis</i>,1997
W1975195438,arabidopsis,1.0,Transient transformation of <i>Arabidopsis</i> leaf protoplasts: a versatile experimental system to study gene expression,1994
W2037414264,arabidopsis,1.0,The <i>Arabidopsis</i> Athb‐10 (GLABRA2) is an HD‐Zip protein required for regulation of root hair development,1996
W2030611224,arabidopsis,1.0,Genetic evidence for an essential role of brassinosteroids in plant development,1996
W2141265355,arabidopsis,1.0,Genetic evidence that induction of root Fe(III) chelate reductase activity is necessary for iron uptake under iron deficiency<sup>†</sup>,1996
W3012723500,arabidopsis,1.0,Correction: Corrigendum: Salicylic acid biosynthesis is enhanced and contributes to increased biotrophic pathogen resistance in Arabidopsis hybrids,2015
W2034234820,arabidopsis,1.0,Mutations in the <i>AXR3</i> gene of <i>Arabidopsis</i> result in altered auxin response including ectopic expression from the <i>SAUR‐AC1</i> promoter,1996
W1848060965,arabidopsis,1.0,Molecular Cloning and Characterization of 9 cDNAs for Genes That Are Responsive to Desiccation in Arabidopsis thaliana: SequenceAnalysis of One cDNA Clone That Encodes a Putative Transmembrane Channel Protein,1992
W1975878968,arabidopsis,1.0,Tissue‐specific expression of <i>Arabidopsis AKT1</i> gene is consistent with a role in K<sup>+</sup> nutrition,1996
W2006983022,arabidopsis,1.0,Functional analysis of the <i>Arabidopsis thaliana</i> SBP‐box gene <i>SPL3</i>: a novel gene involved in the floral transition,1997
W2000345299,arabidopsis,1.0,"<i>amp1</i> ‐ a mutant with high cytokinin levels and altered embryonic pattern, faster vegetative growth, constitutive photomorphogenesis and precocious flowering",1993
W1966377424,arabidopsis,1.0,"Differential expression of two <i>P5CS</i> genes controlling proline accumulation during salt‐stress requires ABA and is regulated by <i>ABA1, ABI1</i> and <i>AXR2</i> in <i>Arabidopsis</i>",1997
W4244174210,arabidopsis,1.0,Relationship between Endopolyploidy and Cell Size in Epidermal Tissue of Arabidopsis,1993
W1578354962,arabidopsis,1.0,Plant roots : the hidden half,1991
W1607705891,arabidopsis,1.0,Ethylene is a positive regulator of root hair development in <i>Arabidopsis thaliana</i>,1995
W2004806734,arabidopsis,1.0,The <i>Arabidopsis</i> ribonuclease gene <i>RNS1</i> is tightly controlled in response to phosphate limitation,1994
W2069579071,arabidopsis,1.0,Seed and Molecular Resources for Arabidopsis,2000
W1942286409,arabidopsis,1.0,The New <i>RGA</i> Locus Encodes a Negative Regulator of Gibberellin Response in <i>Arabidopsis thaliana</i>,1997
W4241689729,arabidopsis,1.0,Production of Salicylic Acid Precursors Is a Major Function of Phenylalanine Ammonia-Lyase in the Resistance of Arabidopsis to Peronospora parasitica,1996
W2116697546,arabidopsis,1.0,A role for arabinogalactan‐proteins in plant cell expansion: evidence from studies on the interaction of β‐glucosyl Yariv reagent with seedlings of <i>Arabidopsis thaliana</i>,1996
W4231058641,arabidopsis,1.0,Molecular Characterization of Functional Domains in the Protein Kinase SOS2 That Is Required for Plant Salt Tolerance,2001
W2044514710,arabidopsis,1.0,The <i>Arabidopsis</i> homeobox gene <i>ATHB‐7</i> is induced by water deficit and by abscisic acid,1996
W2115803636,arabidopsis,1.0,Mutants of <i>Arabidopsis thaliana</i> with altered cell wall polysaccharide composition,1997
W2041433712,arabidopsis,1.0,Coordinate transcriptional induction of <i>myo</i>‐inositol metabolism during environmental stress,1996
W4255852062,arabidopsis,1.0,"Phenotypic and Genetic Analysis of det2, a New Mutant That Affects Light-Regulated Seedling Development in Arabidopsis",1991
W2054246604,arabidopsis,1.0,The <i>Arabidopsis ELF</i>3 gene regulates vegetative photomorphogenesis and the photoperiodic induction of flowering,1996
W1964558478,arabidopsis,1.0,Real‐time imaging of phloem unloading in the root tip of <i>Arabidopsis</i>,1994
W1978805236,arabidopsis,1.0,An inventory of 1152 expressed sequence tags obtained by partial sequencing of cDNAs from <i>Arabidopsis thaliana</i><sup>†</sup>,1993
W2125921110,arabidopsis,1.0,"HAT3.1, a novel <i>Arabidopsis</i> homeodomain protein containing a conserved cysteine‐rich region",1993
