concept_a,concept_b,organism,year
C148383697,C26271046,non_specific,1960
C1276947,C44870925,non_specific,1960
C199539241,C73484699,non_specific,1960
C159467904,C171250308,non_specific,1961
C3116431,C39549134,non_specific,1961
C154945302,C31972630,non_specific,1962
C155202549,C18547055,non_specific,1963
C109214941,C185544564,non_specific,1963
C10138342,C3116431,non_specific,1964
C138921699,C50522688,non_specific,1965
C19527891,C31972630,non_specific,1965
C13280743,C74650414,non_specific,1965
C134306372,C2524010,non_specific,1965
C119599485,C76155785,non_specific,1966
C146978453,C201995342,non_specific,1967
C121955636,C77088390,non_specific,1967
C144237770,C165556158,non_specific,1967
C199639397,C78519656,non_specific,1968
C33332235,C62520636,non_specific,1968
C146978453,C78519656,non_specific,1970
C121864883,C30475298,non_specific,1973
C79403827,C9390403,non_specific,1973
C11413529,C121864883,non_specific,1974
C30475298,C459310,non_specific,1974
C121864883,C459310,non_specific,1974
C11413529,C30475298,non_specific,1974
C11413529,C459310,non_specific,1974
C199360897,C94375191,non_specific,1974
C118084267,C138921699,non_specific,1975
C105639569,C34447519,non_specific,1976
C107038049,C124952713,non_specific,1977
C115903868,C199360897,non_specific,1977
C149635348,C77088390,non_specific,1978
C149635348,C9390403,non_specific,1978
C111919701,C77088390,non_specific,1978
C111919701,C149635348,non_specific,1978
C3079626,C74650414,non_specific,1979
C106159729,C556758197,non_specific,1979
C539667460,C56739046,non_specific,1980
C173608175,C199360897,non_specific,1980
C100001284,C105639569,non_specific,1980
C107053488,C147176958,non_specific,1981
C34447519,C40700,non_specific,1984
C184779094,C41999313,non_specific,1984
C33332235,C74650414,non_specific,1984
C3079626,C62520636,non_specific,1985
C199360897,C459310,non_specific,1987
C109214941,C33332235,non_specific,1987
C107053488,C107457646,non_specific,1994
C118084267,C133425853,non_specific,1997
C184779094,C3079626,non_specific,1998
C30475298,C74650414,non_specific,2023
C126322002,C134018914,non_specific,1960
C178802073,C77595967,non_specific,1960
C199343813,C29694066,non_specific,1963
C184779094,C185544564,non_specific,1969
C146978453,C199104240,non_specific,1977
C121864883,C28826006,non_specific,1977
C149635348,C79403827,non_specific,1987
C145420912,C19417346,non_specific,1965
C23123220,C41008148,non_specific,1960
C188027245,C42360764,non_specific,1960
C204321447,C41895202,non_specific,1960
C75630572,C77805123,non_specific,1961
C121684516,C199639397,non_specific,1961
C10138342,C73283319,non_specific,1961
C118487528,C119767625,non_specific,1961
C107038049,C46312422,non_specific,1962
C61434518,C90924648,non_specific,1963
C19165224,C2549261,non_specific,1963
C1862650,C99508421,non_specific,1964
C138496976,C548259974,non_specific,1964
C138496976,C70410870,non_specific,1964
C118615104,C202444582,non_specific,1964
C111472728,C188147891,non_specific,1964
C121684516,C19527891,non_specific,1965
C121684516,C31972630,non_specific,1965
C13280743,C134306372,non_specific,1965
C13280743,C2524010,non_specific,1965
C134306372,C74650414,non_specific,1965
C136264566,C26271046,non_specific,1965
C138496976,C77805123,non_specific,1965
C2524010,C74650414,non_specific,1965
C145236788,C4249254,non_specific,1967
C111919701,C199360897,non_specific,1967
C170154142,C77595967,non_specific,1968
C70410870,C77805123,non_specific,1968
C121684516,C153349607,non_specific,1968
C121684516,C154945302,non_specific,1969
C199360897,C77088390,non_specific,1969
C121864883,C74650414,non_specific,1971
C112930515,C21547014,non_specific,1972
C107038049,C11171543,non_specific,1972
C204321447,C80444323,non_specific,1972
C29595303,C76155785,non_specific,1972
C199104240,C78762247,non_specific,1973
C147176958,C170154142,non_specific,1973
C136264566,C47768531,non_specific,1973
C138921699,C74363100,non_specific,1974
C149635348,C201995342,non_specific,1974
C38652104,C76155785,non_specific,1975
C13736549,C539667460,non_specific,1976
C119857082,C124101348,non_specific,1976
C136229726,C49040817,non_specific,1978
C111919701,C9390403,non_specific,1978
C115903868,C201995342,non_specific,1980
C118084267,C190253527,non_specific,1982
C149635348,C199639397,non_specific,1983
C107457646,C49774154,non_specific,1985
C100001284,C118084267,non_specific,1986
C173608175,C459310,non_specific,1987
C31258907,C76155785,non_specific,1987
C126838900,C19527891,non_specific,1987
C147176958,C76155785,non_specific,1988
C119599485,C24326235,non_specific,1988
C118084267,C165556158,non_specific,1988
C138921699,C34447519,non_specific,1989
C133731056,C44154836,non_specific,1992
C199360897,C80444323,non_specific,1995
C3079626,C33332235,non_specific,2000
C120314980,C31258907,non_specific,2002
C26873012,C30475298,non_specific,2002
C173608175,C80444323,non_specific,2002
C120314980,C173608175,non_specific,2003
C118524514,C459310,non_specific,2003
C184779094,C30475298,non_specific,2004
C133425853,C165556158,non_specific,2012
C154945302,C41008148,non_specific,1987
C136764020,C23123220,non_specific,1960
C187320778,C66938386,non_specific,1960
C119767625,C120665830,non_specific,1960
C108827166,C38652104,non_specific,1969
C19165224,C24667770,non_specific,1998
C127313418,C166957645,non_specific,1960
C119857082,C154945302,non_specific,1968
C143998085,C502942594,non_specific,1960
C45355965,C47768531,non_specific,1960
C39549134,C509550671,non_specific,1961
C107826830,C91375879,non_specific,1961
C180747234,C46312422,non_specific,1961
C116915560,C185544564,non_specific,1961
C3116431,C509550671,non_specific,1961
C144237770,C149782125,non_specific,1961
C118552586,C74909509,non_specific,1962
C171250308,C183696295,non_specific,1962
C50522688,C74363100,non_specific,1962
C187320778,C77595967,non_specific,1962
C49040817,C61696701,non_specific,1962
C107826830,C22212356,non_specific,1963
C107826830,C112930515,non_specific,1964
C171250308,C61696701,non_specific,1964
C112930515,C526734887,non_specific,1965
C44154836,C57879066,non_specific,1966
C126255220,C28826006,non_specific,1966
C154945302,C188147891,non_specific,1966
C121864883,C186060115,non_specific,1967
C159467904,C41999313,non_specific,1967
C170154142,C178802073,non_specific,1968
C147176958,C187320778,non_specific,1969
C143998085,C61434518,non_specific,1969
C110354214,C201995342,non_specific,1970
C22212356,C38652104,non_specific,1970
C107993555,C19165224,non_specific,1970
C183696295,C21880701,non_specific,1970
C138496976,C180747234,non_specific,1970
C148383697,C539667460,non_specific,1972
C124101348,C80444323,non_specific,1972
C136264566,C50522688,non_specific,1973
C26271046,C74363100,non_specific,1975
C171250308,C186060115,non_specific,1977
C165205528,C8058405,non_specific,1979
C115903868,C149635348,non_specific,1980
C117671659,C201995342,non_specific,1981
C190253527,C55587333,non_specific,1981
C19527891,C2989005,non_specific,1982
C126838900,C2989005,non_specific,1982
C111919701,C121684516,non_specific,1982
C159467904,C26873012,non_specific,1983
C121864883,C26873012,non_specific,1984
C18547055,C34447519,non_specific,1985
C38652104,C75630572,non_specific,1985
C195094911,C56739046,non_specific,1985
C110354214,C115903868,non_specific,1985
C29694066,C66938386,non_specific,1986
C33332235,C37914503,non_specific,1987
C107053488,C201995342,non_specific,1987
C111919701,C79403827,non_specific,1988
C10138342,C121955636,non_specific,1988
C10138342,C162118730,non_specific,1989
C138921699,C47768531,non_specific,1990
C31258907,C79403827,non_specific,1992
C105639569,C138921699,non_specific,1993
C117671659,C13736549,non_specific,1993
C38652104,C73484699,non_specific,1994
C107993555,C24667770,non_specific,1996
C11171543,C542102704,non_specific,1996
C73283319,C74363100,non_specific,1996
C173608175,C31258907,non_specific,1997
C120314980,C80444323,non_specific,1998
C178550888,C73283319,non_specific,1998
C115903868,C120314980,non_specific,2000
C3079626,C37914503,non_specific,2000
C204321447,C28490314,non_specific,2003
C118524514,C173608175,non_specific,2003
C120314980,C13736549,non_specific,2007
C106159729,C73283319,non_specific,2011
C121864883,C33332235,non_specific,1981
C147789679,C46141821,non_specific,2006
C112698675,C162853370,non_specific,1960
C153294291,C91586092,non_specific,1960
C159985019,C192562407,non_specific,1960
C47768531,C50522688,non_specific,1961
C119599485,C171146098,non_specific,1973
C134306372,C28826006,non_specific,1975
C178802073,C199104240,non_specific,1972
C175605778,C526734887,non_specific,1972
