organism,macro_theme_id,decade,count,enrichment
arabidopsis,3,1990s,139,2.351911741800851
arabidopsis,28,1990s,6,1.50761354186809
arabidopsis,1,1990s,249,1.0445950906913326
arabidopsis,22,1990s,1,0.3597148467557767
arabidopsis,0,1990s,737,-0.15112818965997948
arabidopsis,6,1990s,19,-0.7857315950622739
arabidopsis,10,1990s,6,-1.0976976042448685
arabidopsis,2,1990s,4,-1.902163090045439
arabidopsis,4,1990s,0,-4.0
arabidopsis,5,1990s,0,-4.0
arabidopsis,7,1990s,0,-4.0
arabidopsis,8,1990s,0,-4.0
arabidopsis,11,1990s,0,-4.0
arabidopsis,12,1990s,0,-4.0
arabidopsis,14,1990s,0,-4.0
arabidopsis,15,1990s,0,-4.0
arabidopsis,16,1990s,0,-4.0
arabidopsis,17,1990s,0,-4.0
arabidopsis,19,1990s,0,-4.0
arabidopsis,20,1990s,0,-4.0
arabidopsis,21,1990s,0,-4.0
arabidopsis,24,1990s,1,-4.0
arabidopsis,25,1990s,0,-4.0
arabidopsis,26,1990s,0,-4.0
arabidopsis,27,1990s,0,-4.0
arabidopsis,29,1990s,0,-4.0
arabidopsis,3,2000s,45,0.7756729777660389
arabidopsis,28,2000s,1,0.6736816524888124
arabidopsis,25,2000s,2,0.5983935251845753
arabidopsis,1,2000s,297,0.5689738648045404
arabidopsis,0,2000s,4689,0.1177850672351701
arabidopsis,7,2000s,2,0.10599714319949166
arabidopsis,24,2000s,181,-0.13448637619060194
arabidopsis,14,2000s,14,-0.9026677179276357
arabidopsis,2,2000s,7,-1.0581222365616147
arabidopsis,16,2000s,2,-2.073552277131221
arabidopsis,6,2000s,4,-2.9209095494301205
arabidopsis,10,2000s,5,-2.946904757963065
arabidopsis,29,2000s,8,-3.1179463964896743
arabidopsis,4,2000s,0,-4.0
arabidopsis,5,2000s,0,-4.0
arabidopsis,8,2000s,0,-4.0
arabidopsis,9,2000s,0,-4.0
arabidopsis,11,2000s,0,-4.0
arabidopsis,12,2000s,0,-4.0
arabidopsis,15,2000s,0,-4.0
arabidopsis,17,2000s,0,-4.0
arabidopsis,19,2000s,0,-4.0
arabidopsis,20,2000s,0,-4.0
arabidopsis,21,2000s,0,-4.0
arabidopsis,22,2000s,0,-4.0
arabidopsis,23,2000s,0,-4.0
arabidopsis,26,2000s,0,-4.0
arabidopsis,27,2000s,0,-4.0
arabidopsis,25,2010s,7,1.3431114781424907
arabidopsis,16,2010s,13,1.0025765974662764
arabidopsis,28,2010s,1,0.8353168379437942
arabidopsis,1,2010s,215,0.4987012997288931
arabidopsis,24,2010s,352,0.24888380702087887
arabidopsis,0,2010s,10023,0.1690322425859726
arabidopsis,23,2010s,2,-0.15074397109833182
arabidopsis,2,2010s,3,-1.3751359700811283
arabidopsis,6,2010s,5,-1.8888296701662146
arabidopsis,3,2010s,2,-2.4386580337206403
arabidopsis,29,2010s,13,-2.572365755731546
arabidopsis,14,2010s,35,-2.607735990256234
arabidopsis,7,2010s,1,-2.6139905634197955
arabidopsis,10,2010s,5,-3.7951603220297305
arabidopsis,4,2010s,4,-4.0
arabidopsis,5,2010s,0,-4.0
arabidopsis,8,2010s,0,-4.0
arabidopsis,9,2010s,0,-4.0
arabidopsis,11,2010s,0,-4.0
arabidopsis,12,2010s,0,-4.0
arabidopsis,15,2010s,0,-4.0
arabidopsis,17,2010s,0,-4.0
arabidopsis,18,2010s,0,-4.0
arabidopsis,19,2010s,0,-4.0
arabidopsis,20,2010s,0,-4.0
arabidopsis,21,2010s,1,-4.0
arabidopsis,22,2010s,0,-4.0
arabidopsis,26,2010s,0,-4.0
arabidopsis,27,2010s,0,-4.0
arabidopsis,25,2020s,1,1.3005964532353722
arabidopsis,16,2020s,4,0.852135952419078
arabidopsis,27,2020s,5,0.7645435529951624
arabidopsis,1,2020s,67,0.6438781125235978
arabidopsis,0,2020s,5014,0.272264982725585
arabidopsis,26,2020s,22,0.26417304498549815
arabidopsis,7,2020s,8,0.23810052750160812
arabidopsis,2,2020s,2,-1.5615242722531242
arabidopsis,24,2020s,12,-1.9356835507411696
arabidopsis,10,2020s,6,-2.184114573850283
arabidopsis,9,2020s,2,-2.3671064784937204
arabidopsis,6,2020s,2,-2.429590608299772
arabidopsis,14,2020s,14,-3.406269534065153
arabidopsis,4,2020s,35,-3.800841521557668
arabidopsis,3,2020s,0,-4.0
arabidopsis,5,2020s,0,-4.0
arabidopsis,8,2020s,0,-4.0
arabidopsis,11,2020s,0,-4.0
arabidopsis,12,2020s,0,-4.0
arabidopsis,13,2020s,0,-4.0
arabidopsis,17,2020s,0,-4.0
arabidopsis,18,2020s,0,-4.0
arabidopsis,19,2020s,0,-4.0
arabidopsis,20,2020s,0,-4.0
arabidopsis,21,2020s,0,-4.0
arabidopsis,23,2020s,0,-4.0
arabidopsis,28,2020s,0,-4.0
arabidopsis,29,2020s,0,-4.0
barley,1,1990s,169,0.6720997974321634
barley,28,1990s,2,0.10927824367366147
barley,0,1990s,765,0.0892941413516926
barley,24,1990s,25,-0.09064389685909191
barley,10,1990s,10,-0.17410480755193503
barley,6,1990s,22,-0.3876002873418346
barley,3,1990s,18,-0.41047712695361704
barley,2,1990s,3,-2.1305733867975554
barley,4,1990s,5,-2.2622806189383016
barley,29,1990s,1,-3.0068293845235723
barley,5,1990s,0,-4.0
barley,7,1990s,0,-4.0
barley,8,1990s,0,-4.0
barley,11,1990s,0,-4.0
barley,12,1990s,0,-4.0
barley,14,1990s,0,-4.0
barley,15,1990s,0,-4.0
barley,16,1990s,0,-4.0
barley,17,1990s,0,-4.0
barley,19,1990s,0,-4.0
barley,20,1990s,1,-4.0
barley,21,1990s,0,-4.0
barley,22,1990s,0,-4.0
barley,25,1990s,0,-4.0
barley,26,1990s,0,-4.0
barley,27,1990s,0,-4.0
barley,7,2000s,1,1.0683465298231
barley,1,2000s,102,0.9894294725988785
barley,17,2000s,1,0.7019189747688779
barley,0,2000s,1181,0.0908631395351152
barley,27,2000s,5,-0.09422073032526569
barley,14,2000s,6,-0.16271075264047527
barley,6,2000s,6,-0.37359766208535605
barley,24,2000s,35,-0.5426998597052327
barley,3,2000s,4,-0.7538307319400274
barley,10,2000s,5,-0.984555371339457
barley,5,2000s,1,-1.1112028905076126
barley,21,2000s,1,-2.3363333939733795
barley,4,2000s,1,-3.781218720368474
barley,2,2000s,0,-4.0
barley,8,2000s,0,-4.0
barley,9,2000s,0,-4.0
barley,11,2000s,0,-4.0
barley,12,2000s,0,-4.0
barley,15,2000s,0,-4.0
barley,16,2000s,0,-4.0
barley,19,2000s,0,-4.0
barley,20,2000s,0,-4.0
barley,22,2000s,0,-4.0
barley,23,2000s,0,-4.0
barley,25,2000s,0,-4.0
barley,26,2000s,0,-4.0
barley,28,2000s,0,-4.0
barley,29,2000s,0,-4.0
barley,17,2010s,9,2.986997520026402
barley,5,2010s,2,2.7188921246451865
barley,14,2010s,111,1.073422441873947
barley,1,2010s,48,0.35149653358563054
barley,16,2010s,2,0.318162462050226
barley,0,2010s,2398,0.12164700066911134
barley,2,2010s,2,0.055927111922757
barley,3,2010s,2,-0.42263245099559904
barley,24,2010s,54,-0.4396347267279083
barley,27,2010s,1,-0.7880678640746965
barley,29,2010s,4,-2.2567798911475965
barley,4,2010s,5,-2.577758479250068
barley,21,2010s,1,-2.7735233162797543
barley,10,2010s,2,-3.101062834192051
barley,6,2010s,0,-4.0
barley,7,2010s,0,-4.0
barley,8,2010s,0,-4.0
barley,9,2010s,0,-4.0
barley,11,2010s,0,-4.0
barley,12,2010s,0,-4.0
barley,15,2010s,0,-4.0
barley,18,2010s,0,-4.0
barley,19,2010s,0,-4.0
barley,20,2010s,0,-4.0
barley,22,2010s,0,-4.0
barley,23,2010s,0,-4.0
barley,25,2010s,0,-4.0
barley,26,2010s,0,-4.0
barley,28,2010s,0,-4.0
barley,23,2020s,2,2.2546712479312183
barley,14,2020s,139,1.6667463333542007
barley,7,2020s,4,0.9995302442550583
barley,1,2020s,16,0.3392186388192758
barley,27,2020s,1,0.2040451748612504
barley,26,2020s,6,0.15113364382280733
barley,0,2020s,1351,0.14176037797078095
barley,24,2020s,11,-0.29978471607157825
barley,2,2020s,1,-0.8000945554996738
barley,10,2020s,1,-3.007647357817989
barley,3,2020s,0,-4.0
barley,4,2020s,0,-4.0
barley,5,2020s,0,-4.0
barley,6,2020s,0,-4.0
barley,8,2020s,0,-4.0
barley,9,2020s,0,-4.0
barley,11,2020s,0,-4.0
barley,12,2020s,0,-4.0
barley,13,2020s,0,-4.0
barley,16,2020s,0,-4.0
barley,17,2020s,0,-4.0
barley,18,2020s,0,-4.0
barley,19,2020s,0,-4.0
barley,20,2020s,0,-4.0
barley,21,2020s,0,-4.0
barley,25,2020s,0,-4.0
barley,28,2020s,0,-4.0
barley,29,2020s,0,-4.0
cotton,1,1990s,147,1.055148868852074
