metric,value,organism,note
total_papers_all_time,64530,arabidopsis,
total_papers_2020_2024,16087,arabidopsis,years 2020-2024
share_pct_latest_year,2.163,arabidopsis,share_pct in 2024
cagr_2010s,0.037591,arabidopsis,
cagr_2020s,-0.064124,arabidopsis,
applied_share_2020s,0.955803,arabidopsis,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,-0.001404,arabidopsis,weighted mean CD index across decades
mean_team_size_latest5,7.0176,arabidopsis,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.2313,arabidopsis,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,99616,rice,
total_papers_2020_2024,29282,rice,years 2020-2024
share_pct_latest_year,4.8432,rice,share_pct in 2024
cagr_2010s,0.048979,rice,
cagr_2020s,0.007406,rice,
applied_share_2020s,0.858445,rice,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.046893,rice,weighted mean CD index across decades
mean_team_size_latest5,5.9477,rice,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1382,rice,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,95817,wheat,
total_papers_2020_2024,26783,wheat,years 2020-2024
share_pct_latest_year,4.0215,wheat,share_pct in 2024
cagr_2010s,0.046597,wheat,
cagr_2020s,-0.023938,wheat,
applied_share_2020s,0.839226,wheat,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.084438,wheat,weighted mean CD index across decades
mean_team_size_latest5,5.7167,wheat,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.152,wheat,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,87765,maize,
total_papers_2020_2024,23229,maize,years 2020-2024
share_pct_latest_year,3.7554,maize,share_pct in 2024
cagr_2010s,0.046483,maize,
cagr_2020s,-0.011881,maize,
applied_share_2020s,0.781695,maize,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.094744,maize,weighted mean CD index across decades
mean_team_size_latest5,5.4898,maize,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1312,maize,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,43930,soybean,
total_papers_2020_2024,11615,soybean,years 2020-2024
share_pct_latest_year,1.774,soybean,share_pct in 2024
cagr_2010s,0.043477,soybean,
cagr_2020s,-0.017411,soybean,
applied_share_2020s,0.82161,soybean,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.10155,soybean,weighted mean CD index across decades
mean_team_size_latest5,5.6019,soybean,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.113,soybean,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,45326,tomato,
total_papers_2020_2024,13803,tomato,years 2020-2024
share_pct_latest_year,2.2396,tomato,share_pct in 2024
cagr_2010s,0.056244,tomato,
cagr_2020s,0.021262,tomato,
applied_share_2020s,0.901543,tomato,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.033031,tomato,weighted mean CD index across decades
mean_team_size_latest5,5.4252,tomato,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1519,tomato,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,17675,barley,
total_papers_2020_2024,4256,barley,years 2020-2024
share_pct_latest_year,0.6378,barley,share_pct in 2024
cagr_2010s,0.053719,barley,
cagr_2020s,-0.01704,barley,
applied_share_2020s,0.829887,barley,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.076116,barley,weighted mean CD index across decades
mean_team_size_latest5,5.2816,barley,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1612,barley,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,24397,cotton,
total_papers_2020_2024,6293,cotton,years 2020-2024
share_pct_latest_year,1.0079,cotton,share_pct in 2024
cagr_2010s,0.022694,cotton,
cagr_2020s,-0.006305,cotton,
applied_share_2020s,0.839504,cotton,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.099313,cotton,weighted mean CD index across decades
mean_team_size_latest5,6.3487,cotton,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1253,cotton,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,23045,potato,
total_papers_2020_2024,5949,potato,years 2020-2024
share_pct_latest_year,0.8765,potato,share_pct in 2024
cagr_2010s,0.03637,potato,
cagr_2020s,-0.025713,potato,
applied_share_2020s,0.905194,potato,"applied / (fundamental + applied), 2020-2024"
mean_disruption_index,0.055107,potato,weighted mean CD index across decades
mean_team_size_latest5,5.2936,potato,"mean of mean_team_size, 2020-2024"
intl_collab_rate_latest5,0.1519,potato,"mean of intl_collab_rate, 2020-2024"
total_papers_all_time,22027,tobacco,
total_papers_2020_2024,3653,tobacco,years 2020-2024
share_pct_latest_year,0.6112,tobacco,share_pct in 2024
cagr_2010s,-0.035377,tobacco,
cagr_2020s,0.036755,tobacco,
