topic_id,macro_theme_id,top_words,n_docs
-1,-1,outlier,1492735
0,0,"cows, milk, rumen, silage, dairy, mastitis, lactation, dm, pregnancy, fed",122429
1,0,"el, los, las, del, en, la, se, una, en el, en la",53824
2,0,"les, des, le, dans, du, une, et, pour, sur, par",38423
3,0,"solo, foi, em, com, tratamentos, plantas, seca, massa, produtividade, delineamento",18013
4,0,"swine, vaccine, virus, fever, vaccination, pigs, viral, bovine, outbreaks, vaccines",17368
5,0,"der, und, die, von, mit, auf, den, zu, eine, im",16637
6,0,"learning, accuracy, images, image, deep learning, classification, neural, deep, detection, diseases",13862
7,0,"uma, um, setor, pesquisa, da, dos, para, mercado, os, que",12993
8,0,"table, additional file, file, kb, additional, table s1, s2, s3, s4, s5",11580
9,0,"spectroscopic, isolated, structures, elucidated, compounds isolated, nmr, compounds, spectral, chemical constituents, constituents",11454
10,24,"br, mgl, gmo, 10, 11, 12, ph, mmoll, 13, 20",10876
11,0,"nematode, incognita, nematodes, meloidogyne, rootknot, meloidogyne incognita, rootknot nematode, javanica, juveniles, j2",10798
12,0,"intake, vegetables, fruit vegetable, consumption, vegetable, 95 ci, dietary, fv, children, ci",10699
13,0,"defense, immunity, effector, effectors, pathogen, cell death, infection, proteins, virulence, sa",10158
14,0,"storage, 1mcp, stored, firmness, shelf, shelf life, fruits, weight loss, packaging, postharvest",9661
15,0,"urban, food, urban agriculture, local food, food systems, social, gardens, community, cities, local",9273
16,0,"international symposium, symposium, international, congress, horticultural, horticulture, protected cultivation, sustaining, postharvest, livelihoods",8672
17,0,"antibacterial, antibacterial activity, aureus, antimicrobial, staphylococcus, staphylococcus aureus, extracts, mic, extract, coli",8623
18,0,"medicinal, medicinal plants, ethnobotanical, plants used, traditional, ailments, ethnomedicinal, knowledge, families, healers",8445
19,0,"cattle, livestock, respondents, farmers, women, business, dairy, beef cattle, income, goat",8393
20,0,"broiler, broilers, birds, chicks, hens, egg, diets, chickens, diet, laying",7600
21,0,"laccase, dye, dyes, textile, lignin, azo, wastewater, immobilized, effluent, biodegradation",7398
22,0,"cd, cadmium, metals, pb, heavy, metal, phytoremediation, heavy metals, cu, heavy metal",7066
23,24,"arabidopsis, qtl, bp, br, mmoll, cd, ssr, cdna, mirna, uvb",6992
24,0,"nodule, meliloti, nod, nodulation, nodules, symbiotic, plasmid, mutant, mutants, virulence",6731
25,14,"50, 50 50, 100, naa, bap, 1395, 50 100, 75, 51, glomus",6656
26,14,"fertilizers, russian, tha, indicators, productivity, russia, mineral fertilizers, f1, green mass, amounted",6199
27,21,"feet, inches, bulbs, stock, ft, customers, orders, prices, send, beautiful",5956
28,0,"yang, dan, di, ini, untuk, dalam, penelitian, kabupaten, dengan, dari",5939
29,0,"russian, agricultural, agroindustrial, russia, agrarian, russian federation, federation, sector, agricultural sector, enterprises",5911
30,0,"je, za, od, su, te, iz, pri, na, bio, ili",5805
31,0,"teor, sensorial, produto, armazenamento, cor, com, os, foram, foi, compostos",5547
32,0,"rust, resistance, rust resistance, leaf rust, qtl, stripe rust, stripe, stem rust, resistance genes, races",5538
33,0,"callus, mgl, explants, medium, ms medium, naa, ms, regeneration, bap, medium supplemented",5454
34,0,"spray, droplet, nozzle, drift, droplets, nozzles, sprayer, deposition, spraying, velocity",5106
35,0,"gene family, abiotic, genes, transcription, overexpression, stress, stresses, family, drought, expression",5079
36,0,"injuries, safety, accidents, injury, workers, occupational, accident, vehicle, vehicles, farm",5028
37,0,"cancer, apoptosis, cancer cells, anticancer, cells, tumor, cancer cell, proliferation, cell lines, cell",5006
38,0,"aquatic, toxicity, risk assessment, fish, exposure, assessment, sediment, risk, chemicals, contaminants",5003
39,0,"ha1, fym, npk, vermicompost, manure, kg ha1, kgha, kg, poultry manure, fertilizer",4857
40,0,"fish, carp, fed, diets, diet, aquaculture, dietary, shrimp, immune, growth performance",4837
41,0,"smart, sensor, sensors, internet, things, wireless, agriculture, monitoring, soil moisture, irrigation",4634
42,0,"greenhouse, solar, cooling, greenhouses, heating, heat, ventilation, air, thermal, dryer",4419
43,29,"van, op, met, te, door, dat, tot, om, er, kan",4368
44,0,"virus, mosaic, mosaic virus, rtpcr, nucleotide, isolates, isolate, genbank, cmv, coat protein",4288
45,24,"m2, mg100, g10, rome, cm, 2x, csa, gaba, beauty, cellsml",4276
46,0,"flour, proximate, mg100g, sensory, flours, ash, mg100, crude, wheat flour, proximate composition",4157
47,4,"datasets, dataset, terms dataset, restrictive terms, licensed restrictive, included download, download licensed, individual datasets, datasets included, details data",4142
48,0,"bakteri, ekstrak, daun, aktivitas, terhadap, dan, dengan, pertumbuhan, uji, yang",4121
49,0,"flora, floristic, vegetation, phytosociological, communities, alliance, associations, ass, forests, habitats",4113
50,0,"polymorphic, rapd, genetic diversity, primers, bands, issr, ssr, genetic, markers, polymorphism",4094
51,0,"di, della, che, il, dei, nel, specie, tra, ed, si",4023
52,0,"ve, bu, bir, ile, iin, alma, ise, alan, ok, ya",4022
53,0,"germination, seeds, scarification, dormancy, germination percentage, seed, storage, soaking, seed germination, vigor",4006
54,24,"14c, fig, m2, 12, 11, 13, table, tmv, 23, nar",3980
55,0,"allelopathic, aqueous, germination, extracts, aqueous extracts, allelopathy, seedling growth, seed germination, allelochemicals, germination seedling",3905
56,0,"bamboo, strength, concrete, mechanical properties, tensile, modulus, mechanical, compressive, beams, reinforcement",3729
57,0,"ltp, poland, ltpgt, ltpgtthe, gt, roman, x0d, x0d x0d, 2cm, ampamp",3723
58,0,"animais, dieta, peso, consumo, milho, incluso, nveis, foram, leite, tratamentos",3697
59,0,"weed, weeding, gha, pendimethalin, weed control, fb, weeds, preemergence, weed management, weedy",3696
